Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Prenom;Référence de commande;Telephone;Type;Type d'intervention;Volume
MAG S1/2 IMMEUBLE 9 ALIANCE DARNA KENITRA Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;12:43;M2T;701320;34.255706;-6.649491;2,12661E+11;ALIENCE KASBA;CASH PLUS;82878-H-6;1;;DM220385952;2,12661E+11;;;0
KITAA NÃ¸Ã¿1Ã¿ ,50 BIS S1Ã¿ MAG NÃ¸ 3 SIDI TAIBIÃ¿ 14025 KENITRA CASABLANCA;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;13:04;M2T;097987;34.190574;-6.680671;2,12213E+11;PMS SIDI TAIBI;BARID CASH;82878-H-6;1;;DM220385952;2,12213E+11;;;0
MAG N2IMM165AGH93RESDUGOLFROUTEDEMEHDIAKENITR Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;13:24;M2T;700712;34.249365;-6.6376194;2,1263E+11;GOLF MEHDIA;CASH PLUS;82878-H-6;1;;DM220385952;2,1263E+11;;;0
Bloc M N158 Ouled Oujih Kenitra Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;13:33;M2T;004841;34.2561045;-6.6253831;2,12657E+11;Tasshilat 2 YSH;M2T;82878-H-6;1;;DM220385952;2,12657E+11;;;0
MAGASIN N2 N216,BLOC L LOTISSEMENT OULED OUJIH Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;13:40;M2T;701123;34.26174;-6.623779;2,1266E+11;LAMSSALA LAKDIMA;CASH PLUS;82878-H-6;1;;DM220385952;2,1266E+11;;;0
NÃ¸367 Bloc K Oulad Oujih 14000 KENITRA CASABLANCA;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;13:46;M2T;083687;34.2607013;-6.6201317;2,12213E+11;BC KENITRA OULAD OUJIH;BARID CASH;82878-H-6;1;;DM220385952;2,12213E+11;;;0
199 LOT BASMA N 1OULED OUJIH Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;13:52;M2T;701799;34.259297;-6.615799;2,12661E+11;OULED OUJIH DOUBLE VOIX;CASH PLUS;82878-H-6;1;;DM220385952;2,12661E+11;;;0
Avenue Roi Housseine Ancienne Mâ€šdina 14014 KENITRA CASABLANCA;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;14:39;M2T;083439;34.2653687;-6.5727961;2,12213E+11;BC KENITRA ANCIENNE MEDINA;BARID CASH;82878-H-6;1;;DM220385952;2,12213E+11;;;0
RUE AMIRA AICHA N 18 Centre ville Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;14:47;M2T;700645;34.26802;-6.56383;2,12661E+11;Place municipalite;CASH PLUS;82878-H-6;1;;DM220385952;2,12661E+11;;;0
IMMEUBLE H N 41 ANGLE AV MED 5 ET ROUTE 206 ARSA Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;14:52;M2T;701024;34.268174;-6.562821;2,12645E+11;Bab fes;CASH PLUS;82878-H-6;1;;DM220385952;2,12645E+11;;;0
115 Bd Mohamed V Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;14:58;M2T;700344;34.2658;-6.56404;2,12537E+11;KHABBAZAT;CASH PLUS;82878-H-6;1;;DM220385952;2,12537E+11;;;0
Rue 325 N41 La Cigogne Kenitra Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;15:08;M2T;004830;34.2603828;-6.5680867;2,12666E+11;Chaabi Cash Tasshilat Alhanaa;M2T;82878-H-6;1;;DM220385952;2,12666E+11;;;0
19 C AL HIZAM MAG N 5 Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;15:16;M2T;701524;34.254456;-6.55523;2,12669E+11;ALALMA;CASH PLUS;82878-H-6;1;;DM220385952;2,12669E+11;;;0
33 N°2 AV LA MARCHE VERTE Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;15:25;M2T;700049;34.2516142;-6.5538195;2,12699E+11;CITY UNIVERSITAIRE;CASH PLUS;82878-H-6;1;;DM220385952;2,12699E+11;;;0
Quartier administratif N61Local N1 Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;15:33;M2T;700465;34.247185;-6.553676;2,12537E+11;La marche verte;CASH PLUS;82878-H-6;1;;DM220385952;2,12537E+11;;;0
AL OUAFAA 01 N 518 Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;15:42;M2T;701717;34.2345625;-6.5503125;2,12661E+11;Kenitra El Wafa;CASH PLUS;82878-H-6;1;;DM220385952;2,12661E+11;;;0
Magasin N7 Rdc Immeuble Angle Rue Ibn Batouta Et Rue Saad Zaghloul Kenitra Kenitra Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;15:47;M2T;004861;34.23452;-6.55036;2,12624E+11;Chaabi Cash soliste Innov;M2T;82878-H-6;1;;DM220385952;2,12624E+11;;;0
Rue Elmanzeh Tranch AN° 364 Elfouarat Kenitra Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;16:09;M2T;700427;34.2524;-6.52223;2,12537E+11;KENELFOUARAT;CASH PLUS;82878-H-6;1;;DM220385952;2,12537E+11;;;0
218 RESIDENCE DIOURI BOULVARD MOHAMED 5 QUARTIER KHABBAZATE 14042 KENITRA Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;16:34;M2T;083901;34.25426;-6.55526;2,12602E+11;BC KENITRA KHABBAZATE;BARID CASH;82878-H-6;1;;DM220385952;2,12602E+11;;;0
MAGAZIN N7 RUE MISR ET RUE ZEMZEM MIMOSA IMM SOUHA Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;16:52;M2T;701727;34.253171;-6.595009;2,12643E+11;MIMOSA MAHKAMA;CASH PLUS;82878-H-6;1;;DM220385952;2,12643E+11;;;0
HAY EL WAHDA 3 N 2788 Avenue TAH Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;30/03/2022;5;;10:00;M2T;701678;23.70167;-15.94799;2,12666E+11;DAKHLA HAY AL WAHDA;CASH PLUS;11980 - A - 73;1;;DM220385952;2,12666E+11;;;0
HAY ESSALAM Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;30/03/2022;5;;10:05;M2T;701848;23.70167;-15.94799;2,12707E+11;DAKHAL HAY ESSALAM;CASH PLUS;11980 - A - 73;1;;DM220385952;2,12707E+11;;;0
Avenue Mokaouama N1-908 Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;30/03/2022;5;;10:27;M2T;003739;23.70076;-15.93074;2,12651E+11;Chaabi Cash Cash 1486;M2T;11980 - A - 73;1;;DM220385952;2,12651E+11;;;0
Hay Errahma Angle Avenue Mohamed Fadel Et Avenue Bahnini Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;30/03/2022;5;;10:37;M2T;000569;23.6903;-15.94677;2,12671E+11;Chaabi Cash M2t- Dakhla;M2T;11980 - A - 73;1;;DM220385952;2,12671E+11;;;0
53 Rond Point Hay Salam Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;30/03/2022;5;;10:43;M2T;006167;23.69067;-15.9505;2,12661E+11;Chaabi Cash Najla de Commerce et Services;M2T;11980 - A - 73;1;;DM220385952;2,12661E+11;;;0
Rue Oued El Makhazine el kasbaÃ¿ 28013 MOHAMMEDIA CASABLANCA;Mourad HANOUNI;;;;;10:00-19:00;;30/03/2022;5;;10:00;M2T;083462;33.6965165;-7.3874876;2,12213E+11;BC MOHAMMADIA GARE;BARID CASH;75940-H-6;1;;DM220385952;2,12213E+11;;;0
Mag N 8 TER Residence Nakhil Rue Allal Ben Abdellah Mohammedia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;10:11;M2T;009532;33.70729;-7.3979;2,12661E+11;chaabi cash amalou cash;M2T;75940-H-6;1;;DM220385952;2,12661E+11;;;0
Angle Bd Tadla et Avenu maghreb el Arabi El Alia 28802 MOHAMMEDIA CASABLANCA;Mourad HANOUNI;;;;;10:00-19:00;;30/03/2022;5;;10:23;M2T;083908;33.6868979;-7.3908216;2,12213E+11;BC MOHAMMADIA EL ALIA;BARID CASH;75940-H-6;1;;DM220385952;2,12213E+11;;;0
DERB CHABAB A NUMERO 159 ALIA Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;10:29;M2T;700126;33.68855;-7.38728;2,12634E+11;MOUNASTIR;CASH PLUS;75940-H-6;1;;DM220385952;2,12634E+11;;;0
N1 Bd Palestine Immeuble Aharbar Al Horia El Alia Mohammedia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;10:37;M2T;000015;33.69092;-7.38278;2,12662E+11;Chaabi Cash Rifi Fedala Services;M2T;75940-H-6;1;;DM220385952;2,12662E+11;;;0
HOURIA 1N308 Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;10:44;M2T;700125;33.69045;-7.37889;2,12602E+11;HOURIA;CASH PLUS;75940-H-6;1;;DM220385952;2,12602E+11;;;0
N 455 Rdc Essaada Bd Oued Eddahab El Alia Mohammedia Essaada Mohammadia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;10:59;M2T;009512;33.68136;-7.39485;2,12662E+11;Chaabi Cash Extra Damane;M2T;75940-H-6;1;;DM220385952;2,12662E+11;;;0
Hassania 2 N93 Imm La Samir El Alia Mohammedia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;11:06;M2T;009388;33.67777;-7.3916;2,12661E+11;Chaabi Cash Agence SH2AD;M2T;75940-H-6;1;;DM220385952;2,12661E+11;;;0
181 Kinani Rdc Mag Alia Mohammedia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;11:12;M2T;009417;33.67628;-7.39295;2,12667E+11;Chaabi Cash Focus Pro Informatique;M2T;75940-H-6;1;;DM220385952;2,12667E+11;;;0
Quartier fath 2 N 396 Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;11:22;M2T;701743;33.6703;-7.38885;2,12677E+11;FATH 2;CASH PLUS;75940-H-6;1;;DM220385952;2,12677E+11;;;0
ZL FATH 1 GP 5 N4 BEN YAKHLEF Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;11:37;M2T;702113;33.66593;-7.36582;2,12662E+11;EL FATH 1;CASH PLUS;75940-H-6;1;;DM220385952;2,12662E+11;;;0
LOTISSEMENT FATH 1 SIDI MOUSSA EL MAJDOUB GROUPE 9 NÃ¸148 CASABLANCA;Mourad HANOUNI;;;;;10:00-19:00;;30/03/2022;5;;11:45;M2T;097564;33.661728;-7.362857;2,12213E+11;PCSH MOHAMMEDIA PROJET;BARID CASH;75940-H-6;1;;DM220385952;2,12213E+11;;;0
RIAD SALAM N 04BENYAKHLEF Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;11:53;M2T;700608;33.66583;-7.35692;2,12662E+11;Riad salam benyakhlef;CASH PLUS;75940-H-6;1;;DM220385952;2,12662E+11;;;0
Lotissement Fadl Allah Bd Sebta Rdc Imm N 7 Mohammedia Lotissement Fadl Allah Mohammadia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;12:07;M2T;009503;33.69092;-7.37113;2,12661E+11;Chaabi Cash Sara Botola;M2T;75940-H-6;1;;DM220385952;2,12661E+11;;;0
55 HAY NAHDA Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;30/03/2022;5;;12:23;M2T;700086;33.69952;-7.35486;2,12661E+11;HAY NAHDA MOHAMMEDIA;CASH PLUS;75940-H-6;1;;DM220385952;2,12661E+11;;;0
Rc N2 Imm 127 Lot Les Jardins Cym Bouznika Bouznika;Mourad HANOUNI;;;;;11:00-15:00;;30/03/2022;5;;13:17;M2T;001253;33.80442;-7.15635;2,12687E+11;Chaabi Cash Noaz;M2T;75940-H-6;1;;DM220385952;2,12687E+11;;;0
Avenue Hassan II 13102 BOUZNIKA CASABLANCA;Mourad HANOUNI;;;;;10:00-19:00;;30/03/2022;5;;13:27;M2T;083667;33.7884078;-7.1611065;2,12213E+11;BC BOUZNIKA;BARID CASH;75940-H-6;1;;DM220385952;2,12213E+11;;;0
358 CITE RIAD BOUZNIKA Bouznika;Mourad HANOUNI;;;;;11:00-15:00;;30/03/2022;5;;13:34;M2T;700832;33.78124;-7.15866;2,12666E+11;BOUZNIKACTRIAD;CASH PLUS;75940-H-6;1;;DM220385952;2,12666E+11;;;0
Mag N01 Imm N1317 Bd Bir Anzaran Bouznika Bir Anzaran Bouznika Bouznika;Mourad HANOUNI;;;;;11:00-15:00;;30/03/2022;5;;13:41;M2T;001373;33.77704;-7.15735;2,12675E+11;Tasshilat Techfond;M2T;75940-H-6;1;;DM220385952;2,12675E+11;;;0
NÂ°62 Cite Al Amal Bouznika Bouznika;Mourad HANOUNI;;;;;11:00-15:00;;30/03/2022;5;;13:49;M2T;000546;33.7717;-7.15896;2,12669E+11;Chaabi Cash M2t - Bouznika - Cite Al Amal;M2T;75940-H-6;1;;DM220385952;2,12669E+11;;;0
N7 Immeuble Al Mostakbal Rdc Hay Salam Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;30/03/2022;5;;14:28;M2T;003745;33.62729;-7.13169;2,12665E+11;Chaabi Cash Les Services Au Rendez Vous;M2T;75940-H-6;1;;DM220385952;2,12665E+11;;;0
Bd Hassan IIÃ¿ Quartier El Farah 13002 Benslimane CASABLANCA;Mourad HANOUNI;;;;;10:00-19:00;;30/03/2022;5;;14:35;M2T;083411;33.625028;-7.129725;2,12213E+11;BC BENSLIMANE FATH;BARID CASH;75940-H-6;1;;DM220385952;2,12213E+11;;;0
Hay Pam Sidi battach centre Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;30/03/2022;5;;15:37;M2T;700517;33.5615;-6.88855;2,12674E+11;Sidi batach;CASH PLUS;75940-H-6;1;;DM220385952;2,12674E+11;;;0
Centre Jemaa De Mllila Benslimane Mellila Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;30/03/2022;5;;17:47;M2T;003642;33.38793;-7.14843;2,12661E+11;Tasshilat Kholti;M2T;75940-H-6;1;;DM220385952;2,12661E+11;;;0
CENTRE SIDI MOUSSA BEN ALI ENFACE STATION IFRIQUIA CASABLANCA;Mourad HANOUNI;;;;;10:00-19:00;;30/03/2022;5;;18:58;M2T;097913;33.561743;-7.37544;2,12213E+11;FNR SIDI MOUSSA BEN ALI;BARID CASH;75940-H-6;1;;DM220385952;2,12213E+11;;;0
Lotissement Les Oliviers Lot 20 Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;10:00;M2T;024029;32.29026;-9.24108;2,1267E+11;Chaabi Cash M2t - Les Oliviers - Safi;M2T;WWW;1;;DM220385952;2,1267E+11;;;0
N 114 AV DRISS BENACER LALLA HNIA HAMRIA Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;10:07;M2T;700207;32.29523;-9.24201;2,12667E+11;HNIA HAMRIA;CASH PLUS;WWW;1;;DM220385952;2,12667E+11;;;0
N108 Rue Des Alpes Jnane Chekkouri Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;10:16;M2T;004508;32.30763;-9.23559;2,12661E+11;Tasshilat El Hachimi;M2T;WWW;1;;DM220385952;2,12661E+11;;;0
N132 Avenue Colomb Quartier Sidi Abdelkerim Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;10:23;M2T;004530;32.31175;-9.22859;2,12667E+11;Chaabi Cash Web Corner;M2T;WWW;1;;DM220385952;2,12667E+11;;;0
Lot N 29 Lotissement Nafda Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;10:32;M2T;004565;32.32423;-9.23076;2,12661E+11;Chaabi Cash Cafe Mzoughan;M2T;WWW;1;;DM220385952;2,12661E+11;;;0
FKIH HASKOURI, SAFI CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;10:39;M2T;097933;32.328173;-9.223043;2,12213E+11;CTBÃ¿ ANDALOUS SAFIÃ¿;BARID CASH;WWW;1;;DM220385952;2,12213E+11;;;0
38 BLVRD MED 5 ,QUARTIER ELHARCH. Jamaat shaim;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;11:27;M2T;098860;32.34445;-8.8456;2,12662E+11;BC EC JAMAAT SHAIM;BARID CASH;WWW;1;;DM220383505;2,12662E+11;;;0
NO 7 QUQRTIER SMARA RE MIKHAIL NOUAIMA Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:03;M2T;098861;32.251818;-8.534028;2,12662E+11;BC EC YOUSSOUFIA;BARID CASH;WWW;1;;DM220383505;2,12662E+11;;;0
N° 256 QUARTIER LAGHDIR Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:15;M2T;700979;32.247647;-8.53265;2,12661E+11;YOUSSOUFIA LAGHDIR;CASH PLUS;WWW;1;;DM220383505;2,12661E+11;;;0
24 Bis Place Des Far Hay Hassani Youssoufia Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:20;M2T;006512;32.247647;-8.53265;2,12639E+11;Chaabi Cash Kanal Sys;M2T;WWW;1;;DM220383505;2,12639E+11;;;0
N° 256 QUARTIER LAGHDIR Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:25;M2T;700979;32.247647;-8.53265;2,12661E+11;YOUSSOUFIA LAGHDIR;CASH PLUS;WWW;1;;DM220385952;2,12661E+11;;;0
IMM ERAC QU HASSANI BIR ANZARANE Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:31;M2T;701953;32.243297;-8.536474;2,12661E+11;YOUSSOUFIA HAY HASSANI;CASH PLUS;WWW;1;;DM220385952;2,12661E+11;;;0
IMM ERAC QU HASSANI BIR ANZARANE Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:36;M2T;701953;32.243297;-8.536474;2,12661E+11;YOUSSOUFIA HAY HASSANI;CASH PLUS;WWW;1;;DM220383505;2,12661E+11;;;0
N 2 (A) Z,A,E CITE HASSANI YOUSSOUFIA Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;13:42;M2T;700088;32.238874;-8.539113;2,12662E+11;ELYOUSSOUFIA2;CASH PLUS;WWW;1;;DM220383505;2,12662E+11;;;0
N 17 Rue El Qods Q EL Hassani Sidi Ahmed Youssoufia Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;14:05;M2T;006376;32.20934;-8.49138;2,12661E+11;Chaabi Cash Cash for you;M2T;WWW;1;;DM220384298;2,12661E+11;;;0
NÂ°5 La Gare Chemaia Province De Youssoufia Quartier El Massira Chemaia Youssoufia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;15:06;M2T;003157;32.08175;-8.62337;2,12668E+11;Chaabi Cash Ahmar;M2T;WWW;1;;DM220383505;2,12668E+11;;;0
Route de Marrakech Quartier Administratif 46053 ECHEMMAIA CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;15:11;M2T;083960;32.0802859;-8.6220842;2,12213E+11;BCÃ¿CHEMAIA;BARID CASH;WWW;1;;DM220385952;2,12213E+11;;;0
Route de Marrakech Quartier Administratif 46053 ECHEMMAIA CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;15:16;M2T;083960;32.0802859;-8.6220842;2,12213E+11;BCÃ¿CHEMAIA;BARID CASH;WWW;1;;DM220383505;2,12213E+11;;;0
N 6 BOULEVARD DES FORCES AUXILIAIRE Echemmaia;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;15:23;M2T;701003;32.068975;-8.626377;2,12661E+11;CHEMAIA 2;CASH PLUS;WWW;1;;DM220385952;2,12661E+11;;;0
CENTRE JDOUR Jdour;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;15:52;M2T;702393;32.107184;-8.780549;2,12682E+11;JDOUR;CASH PLUS;WWW;1;;DM220383505;2,12682E+11;;;0
Centre Bouguedra Bouguedra Bouguedra;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;16:26;M2T;004533;32.2547;-8.9812;2,12695E+11;Chaabi Cash Houbadi Services;M2T;WWW;1;;DM220383505;2,12695E+11;;;0
Lotissement Lamia bloc 5 N 53 Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;16:59;M2T;700307;32.30689;-9.21271;2,12674E+11;LAMYAA;CASH PLUS;WWW;1;;DM220385952;2,12674E+11;;;0
Av Ibn BattoutaÃ¿ Quartier Azib Drai 46002 SAFI CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;17:22;M2T;083446;32.292944;-9.219847;2,12213E+11;BC SAFI AZIB DRAI;BARID CASH;WWW;1;;DM220385952;2,12213E+11;;;0
N20 Bis Rue Abdeslam Mjid Quartier Bled El Jed Safi Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;17:30;M2T;004546;32.2914;-9.22231;2,12666E+11;Tasshilat Info Bled Jed;M2T;WWW;1;;DM220385952;2,12666E+11;;;0
N32 Av Allal Ben Abdellah Ville Nouvelle Safi Abdellah Ville Nouvelle Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;17:38;M2T;004575;32.28475;-9.22233;2,126E+11;Tasshilat Lamaachi Info;M2T;WWW;1;;DM220385952;2,126E+11;;;0
1 Bis Rue Ben Tahar Hay Jerifat Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;17:43;M2T;701391;32.285;-9.22324;2,12525E+11;SAFI JERIFAT;CASH PLUS;WWW;1;;DM220385952;2,12525E+11;;;0
Avenue Al Massira, Route Sebt Gzoula 46014 SAFI CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;17:49;M2T;083445;32.2833935;-9.225643;2,12213E+11;BC SAFI AL MASSIRA Ã¿;BARID CASH;WWW;1;;DM220385952;2,12213E+11;;;0
NÂ° 2 RÃ©sidence Al Mohit Rue Ibnou Khaldoune Ville Nouvelle Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;17:57;M2T;000524;32.27967;-9.23819;2,12679E+11;Chaabi Cash M2t - Safi - Ville Nouvelle;M2T;WWW;1;;DM220385952;2,12679E+11;;;0
Lot 496 Quartier Indistriel Amouni Kaouki Safi Safi;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;18:14;M2T;004562;32.26135;-9.25192;2,12644E+11;Tasshilat Laassiry;M2T;WWW;1;;DM220385952;2,12644E+11;;;0
Quartier Kaouki 46005 SAFI CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;18:21;M2T;083943;32.2568418;-9.250094;2,12213E+11;BC SAFI SIDI OUSSAL;BARID CASH;WWW;1;;DM220385952;2,12213E+11;;;0
Av Phosphate Quartier les courses 46032 SAFI CASABLANCA;Hamid MERNISSI;;;;;10:00-19:00;;30/03/2022;5;;18:31;M2T;083626;32.273901;-9.24502;2,12213E+11;BC SAFI LES COURSES;BARID CASH;WWW;1;;DM220385952;2,12213E+11;;;0
410 Lotissement Ain Zerka Tiznit Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;30/03/2022;5;;09:59;M2T;006131;29.67924;-9.712354;2,12672E+11;Tasshilat Ben Brahim;M2T;23647 W 6;1;;DM220385952;2,12672E+11;;;0
Avenue sidi Abderrahman 81014 TIZNIT CASABLANCA;Mohamed EL OURFI ;;;;;10:00-19:00;;30/03/2022;5;;10:17;M2T;098990;29.702307;-9.728339;2,12213E+11;AWY TIZNIT SIDI ABDERRAHMANE;BARID CASH;23647 W 6;1;;DM220385952;2,12213E+11;;;0
