
Plaque d'immatriculation;Agent;Date de depart;Date d'echeance;Creneau horaire de passage;Type d'intervention;Heure de passage prevu;Duree;Commentaires;Identifiant externe;Identifiant externe client;Prenom;Nom;Mobile;Telephone;Courriel;Adresse;Latitude;Longitude;Competence;Agent privilegie;Poids;Volume;Référence de commande;Hub;Partner;ID;VILLE;Pays;CS;Expéditeur
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;12:02;5;;CF7MLNWB;701024;Passage CNSS;Bab fes;+212644508530;+212644508530;;IMMEUBLE H N 41 ANGLE AV MED 5 ET ROUTE 206 ARSA Kénitra;34.268174;-6.562821;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;12:07;5;;8OK5V5IM;700645;Passage CNSS;Place municipalite;+212661170182;+212661170182;;RUE AMIRA AICHA N 18 Centre ville Kénitra;34.26802;-6.56383;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;12:14;5;;SYAMKCAK;700344;Passage CNSS;KHABBAZAT;+212537377378;+212537377378;;115 Bd Mohamed V Kénitra;34.2658;-6.56404;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;12:28;5;;GPSVH4ZC___;;;QITAB, dr tahiri larbi;+212661207825;+212661207825;;464 avenue Mohamed 5 kenitra Kénitra;34.2568148;-6.5926667;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;12:35;5;;9WZTOQWB___;;;inwi, EL MEHDI OULADLMAROUDIA;+212678036583;+212678036583;;00 JNANE 2 N 301 B301IR RAMI Kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;12:40;5;;Q4TYZ54Y___;;;inwi, GHIZLANE MOUSSAHI;+212643760311;+212643760311;;00 LOTIS BRIKA NR 219 ETGAE ID Kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;12:45;5;;YK63YU3I___;;;ASK SHOP, Zineb Douich;+212698726672;+212698726672;;angle omar el mokhtar el idrissi akbar 3eme etage appt 21 res Imane 40 imm B kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;12:50;5;;BYLPKVXU___;;;Moroccan Bazaar, Imane Mekkaoui;+212664668871;+212664668871;;Brikat Brikat 00 Kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;12:55;5;;QISNRSIR___;;;AVITO, Soumia Boudbagh;+212662615269;+212662615269;;Cabinet vétérinaire,25 Avenue Yaacoub Al Mansour,Résidence Al Yasamine,Plateau N°1(AVANCE 200 DH RESTE DE PRIX 3000 DH ) 1 Kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;13:00;5;;VUXRUVEB___;;;SAID OUNIR, ro9aya eremid;+212666081595;+212666081595;;kenitra 00 Kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;13:05;5;;ESUF75SX___;;;inwi, HADDAOUI LARBI;+212666786256;+212666786256;;00 GROUPE EL FARAJ NO 78 Kénitra;34.2540503;-6.5890166;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;13:12;5;;DTFPJHP0;701727;Passage CNSS;MIMOSA MAHKAMA;+212643078562;+212643078562;;MAGAZIN N7 RUE MISR ET RUE ZEMZEM MIMOSA IMM SOUHA Kénitra;34.253171;-6.595009;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;13:23;5;;W2SO2JYK;700976;Passage CNSS;MASJID BADR;+212661607913;+212661607913;;RUE 10 N 284 BIR RAMI OUESTAlmaghreb arabi Kénitra;34.25573;-6.60342;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;13:36;5;;NNCA9NYZ;004855;Passage CNSS;Chaabi Cash Qorelain;+212661560119;+212661560119;;Magasin N6 Rdc Immeuble 05 Bloc Gh2 Bir Rami Kenitra Kenitra Kénitra;34.2451862;-6.6148453;;;1;0;DM220497837;M2T;M2T;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;13:58;5;;2FVOZRVS___;;;inwi, IMANE IBN-JELLAL;+212666279405;+212666279405;;00 LOTISSEMENT SALIMA N 50 BIR RAMI Kénitra;34.22276980000001;-6.6304104;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;14:03;5;;ZPPQY2YM___;;;inwi, FATIMA ZAHRA ZAHA;+212695612545;+212695612545;;00 N 265 OULED MBAREK BIR RAMI Kénitra;34.2227178;-6.6304362;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;14:31;5;;FLHMUMRS;701137;Passage CNSS;MEHDIA MALL KENITRA;+212678847623;+212678847623;;centre commercial (mehdia mall) n du magazin 24 al Kénitra;34.2464375;-6.6555625;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;14:42;5;;O19RCAHW___;;;HIKMASHOP, Boulanouar mohammed;+212661562825;+212661562825;;N 1 Lotissement alliance darna kénitra Kénitra;34.2541492;-6.6537511;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;14:51;5;;I9BFLCJW;701320;Passage CNSS;ALIENCE KASBA;+212661062038;+212661062038;;MAG S1/2 IMMEUBLE 9 ALIANCE DARNA KENITRA Kénitra;34.255706;-6.649491;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;15:09;5;;CCVJVKHB;097787;Passage CNSS;SFT MEHDIA;+212664405278;+212664405278;;2174 KASBAT MEHDIA KENITRA Kénitra;34.266485;-6.643601;;;1;0;DM220497837;M2T;BARID CASH;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;15:22;5;;NKVYVFK1;702222;Passage CNSS;FLORIDA ELHADADA;+212665693274;+212665693274;;N 2093 LOTISSEMENT HADDADA MAGASIN N2 Kénitra;34.266725;-6.626762;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;15:33;5;;KJOCDXBY;004841;Passage CNSS;Tasshilat 2 YSH;+212657146135;+212657146135;;Bloc M N158 Ouled Oujih Kenitra Kénitra;34.2561045;-6.6253831;;;1;0;DM220497837;M2T;M2T;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;15:42;5;;PPLWRI63___;;;inwi, ABDELILAH SADKI;+212667658560;+212667658560;;00 OULED OUJIH BLOC D NR 83 Kénitra;34.2552344;-6.6183901;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;15:47;5;;QYXR3QTB___;;;ETECH NETWORK, Ihab Tarrafti;+212620156686;+212620156686;;Bloc A N°433, Ouled Oujih Kénitra;34.2552344;-6.6183901;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;15:54;5;;P9UFNPWA;701799;Passage CNSS;OULED OUJIH DOUBLE VOIX;+212661161724;+212661161724;;199 LOT BASMA N 1OULED OUJIH Kénitra;34.259297;-6.615799;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;16:03;5;;KU0RA0K5;700383;Passage CNSS;OULEDOUJIH;+212537353778;+212537353778;;1 Bloc C Ouled Oujih Kénitra;34.2659355;-6.6165085;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;16:08;5;;YFNQLZJM;700657;Passage CNSS;TAIBIA;+212661849877;+212661849877;;193 TAIBIA BOUTIQUE N 3 Kénitra;34.26604;-6.6165;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;16:23;5;;1L0FBM3G___;;;Moroccan Bazaar, فاطمة الزهراء الحنوني;+212624043092;+212624043092;;résidence al ismailia 560 Kénitra;34.284781368772194;-6.608266629035974;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;16:35;5;;XYZLWZA0;004840;Passage CNSS;Chaabi Cash K-Business;+212612037788;+212612037788;;N96 Magasin N1 Bloc C Haouzia Kenitra Kénitra;34.2706639;-6.6108697;;;1;0;DM220497837;M2T;M2T;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;16:44;5;;H2EKQ8EY;701206;Passage CNSS;ESSAYAD;+212621390951;+212621390951;;LOT LE VALLON N 2127 Kénitra;34.266994;-6.60389;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;16:55;5;;ZNANX3EY___;;;XOS, NOVARES MOROCCO - Quartier Al Assam KM 7 Route de Tanger;+212666160994;+212666160994;;NOVARES MOROCCO - Quartier Al Assam KM 7 Route de Tanger Kénitra;34.2612887;-6.597273299999999;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;17:02;5;;NIRLNBFE;083753;Passage CNSS;BC KENITRA VILLE HAUTE;+212700613379;+212700613379;;Avenue Ahmed Chaouki Ville Haute 14036 KENITRA Kénitra;34.265242;-6.593117;;;1;0;DM220497837;M2T;BARID CASH;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;17:13;5;;8N2VX81P;701369;Passage CNSS;EUROSOL KENITRA;+212537375191;+212537375191;;N°10, Avenue Moulay Abdelaziz Kénitra;34.260559;-6.587522;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
11980 - A - 73;Monsif  Akkaoui;18/04/2022;;10:00-19:00;;10:00;5;;BTEH5OAO;006167;Passage CNSS;Chaabi Cash Najla de Commerce et Services;+212661207497;+212661207497;;53 Rond Point Hay Salam Dakhla Dakhla;23.69067;-15.9505;;;1;0;DM220497837;M2T;M2T;;;;;
11980 - A - 73;Monsif  Akkaoui;18/04/2022;;10:00-19:00;;10:06;5;;S0I8FTTK;000569;Passage CNSS;Chaabi Cash M2t- Dakhla;+212671116719;+212671116719;;Hay Errahma Angle Avenue Mohamed Fadel Et Avenue Bahnini Dakhla Dakhla;23.6903;-15.94677;;;1;0;DM220497837;M2T;M2T;;;;;
11980 - A - 73;Monsif  Akkaoui;18/04/2022;;09:00-17:00;;10:20;5;;UTMROFIS___;;;Moroccan Bazaar, Hanane;+212619041806;+212619041806;;01 Avenu des FAR Casablanca;23.7221111;-15.9347384;;;1;0;;;;;;;;
11980 - A - 73;Monsif  Akkaoui;18/04/2022;;;;10:25;5;;[[H4NWWY81]];;;MAFITIS, Youssra elmansouri;+212659644822;;;Lot el montazah 2 NR 30 Dakhla;23.7221111;-15.9347384;;;1;0;;;;;;;;
11980 - A - 73;Monsif  Akkaoui;18/04/2022;;10:00-19:00;;10:37;5;;2ADZKG0O;701848;Passage CNSS;DAKHAL HAY ESSALAM;+212706821565;+212706821565;;HAY ESSALAM Dakhla;23.70167;-15.94799;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;09:59;5;;SLLXTX33;083725;Passage CNSS;BC MOHAMMEDIA PPAL;+21200623038;+21200623038;;Angle Rue Oued Zem et Bd Zerktouni Ville Basse 28806 MOHAMMEDIA Mohammédia;33.70642;-7.39652;;;1;0;DM220497837;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;10:16;5;;QY9IWMJY___;;;inwi, MAMOUN NOUREDDINE;+212661043585;+212661043585;;00 HASSANIA 2 BLOC C NR 173 EL ALIA MOHAMMEDIA Mohammédia;33.6965012;-7.3839578;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;10:29;5;;HCZDCFBO;009512;Passage CNSS;Chaabi Cash Extra Damane;+212661515334;+212661515334;;N 455 Rdc Essaada Bd Oued Eddahab El Alia Mohammedia Essaada Mohammadia Mohammédia;33.68136;-7.39485;;;1;0;DM220497837;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;10:36;5;;TWSUPWNG;009388;Passage CNSS;Chaabi Cash Agence SH2AD;+212661138548;+212661138548;;Hassania 2 N93 Imm La Samir El Alia Mohammedia Mohammédia;33.67777;-7.3916;;;1;0;DM220497837;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;09:00-17:00;;10:43;5;;QACFPAIK___;;;M2T, ES1420Chaabi Cash S.S.I.COM;+212661107330;+212661107330;;Av Abdelkhaleq Torres Residence Mohammedia Mag N°4 Salé 00 Salé;33.6835086;-7.384854699999999;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;10:48;5;;RNVX7H3M___;;;inwi, Agoub Hamza;+212607096997;+212607096997;;00 HAY RACHIDIA 3 BLOC B N°23 PRES SUPER MARCHE VILLA ROYAL - MOHAMMEDIA Mohammédia;33.6835086;-7.384854699999999;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;10:53;5;;BQIHSL6T___;;;inwi, MECHNAN HICHAM;+212673141089;+212673141089;;00 MESKLIL BOULEVARD REDOUANE MAISON NUMERO 21 Mohammédia;33.6835086;-7.384854699999999;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;10:58;5;;JARZC78P___;;;inwi, KHOUADRI NAJOUA;+212661907053;+212661907053;;00 résidence les eurquibé mohamadia immeuble n apprtement 01 Mohammédia;33.6835086;-7.384854699999999;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;11:03;5;;G3ZUGH1T___;;;CUSTOMILY.MA, Boutaina Lebsire;+212613303901;+212613303901;;Parc, Burger King, 00 Mohammédia;33.6835086;-7.384854699999999;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;10:00-13:00;;11:12;5;;1XNKV0R6___;;;inwi, ESSAFI HAMID;+212613120242;+212613120242;;00 res khawla imm 01 gh 1 appt 438 Mohammédia;33.6885696;-7.375216300000001;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;13:00-19:00;;13:33;5;;RZ12UTBD;003642;Passage CNSS;Tasshilat Kholti;+212661225979;+212661225979;;Centre Jemaa De Mllila Benslimane Mellila Benslimane Benslimane;33.38793;-7.14843;;;1;0;DM220497837;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;13:00-19:00;;16:07;5;;1G3JY0VQ;700517;Passage CNSS;Sidi batach;+212674268787;+212674268787;;Hay Pam Sidi battach centre Benslimane;33.5615;-6.88855;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;13:00-19:00;;17:19;5;;KUSJJ1YO;083411;Passage CNSS;BC BENSLIMANE FATH;+212672869004;+212672869004;;Bd Hassan IIÿ Quartier El Farah 13002 Benslimane Benslimane;33.60918;-7.12231;;;1;0;DM220497837;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;13:00-19:00;;17:27;5;;__WBVSCZDD__;;;M2T, ES6704Chaabi Cash Y&M Gold Car;+212666772549;;;Rue Tarik Ibn Ziad N°2 Benslimane Benslimane 00 Benslimane;33.6130062;-7.1204499;;;1;0;;;;;;;;
75940-H-6;Mourad HANOUNI;18/04/2022;;13:00-19:00;;17:38;5;;9NR3RBLF;003745;Passage CNSS;Chaabi Cash Les Services Au Rendez Vous;+212665011107;+212665011107;;N7 Immeuble Al Mostakbal Rdc Hay Salam Benslimane Benslimane;33.62729;-7.13169;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;09:33;5;;SCN1VNAZ;024029;Passage CNSS;Chaabi Cash M2t - Les Oliviers - Safi;+212670267396;+212670267396;;Lotissement Les Oliviers Lot 20 Safi Safi;32.29026;-9.24108;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;09:42;5;;K3QKWK1R;700207;Passage CNSS;HNIA HAMRIA;+212667360752;+212667360752;;N 114 AV DRISS BENACER LALLA HNIA HAMRIA Safi;32.29523;-9.24201;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;09:54;5;;WYVJN2DG;004508;Passage CNSS;Tasshilat El Hachimi;+212660656778;+212660656778;;N108 Rue Des Alpes Jnane Chekkouri Safi Safi;32.30763;-9.23559;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;10:08;5;;KMAOQDUL;004565;Passage CNSS;Chaabi Cash Cafe Mzoughan;+212661107330;+212661107330;;Lot N 29 Lotissement Nafda Safi Safi;32.32423;-9.23076;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;10:20;5;;L76TEYCX;004530;Passage CNSS;Chaabi Cash Web Corner;+212666568988;+212666568988;;N132 Avenue Colomb Quartier Sidi Abdelkerim Safi Safi;32.31175;-9.22859;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;10:52;5;;9XEX6AEI___;;;MOHAMED EL AYACHI, Agoufai Mostafa;+212661691249;+212661691249;;Villa 212, Safi 2, Bled El Jed Safi Safi;32.2989872;-9.1013498;;;1;0;;;;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;11:30;5;;BQTIQAZJ;700307;Passage CNSS;LAMYAA;+212673858875;+212673858875;;Lotissement Lamia bloc 5 N 53 Safi;32.30689;-9.21271;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;11:42;5;;WA4SZSQV___;;;inwi, CHOUMAIS AMAL;+212653338259;+212653338259;;00 21 RUE EL OKHOUAN QU EL FIRDAOUS LOTIS KOUAR Safi;32.3008151;-9.2272033;;;1;0;;;;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;11:47;5;;SLKJ5AQL___;;;TOP MACHINERY ( BRICONET ), SAAD MENNIS;+212661956715;+212661956715;;00 LOT ABC REMONTE N 11 PROVINCE DE SAFI Safi;32.3008151;-9.2272033;;;1;0;;;;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;11:59;5;;DNDSL14V;004546;Passage CNSS;Tasshilat Info Bled Jed;+212665739878;+212665739878;;N20 Bis Rue Abdeslam Mjid Quartier Bled El Jed Safi Safi Safi;32.2914;-9.22231;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;12:10;5;;EZPXSSTC;004575;Passage CNSS;Tasshilat Lamaachi Info;+212600313030;+212600313030;;N32 Av Allal Ben Abdellah Ville Nouvelle Safi Abdellah Ville Nouvelle Safi Safi;32.28475;-9.22233;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;12:15;5;;JXOYKPIF;701391;Passage CNSS;SAFI JERIFAT;+212524630655;+212524630655;;1 Bis Rue Ben Tahar Hay Jerifat Safi;32.285;-9.22324;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;12:22;5;;CLZQTQHL;083445;Passage CNSS;BC SAFI AL MASSIRA ÿ;+212702023126;+212702023126;;Avenue Al Massira, Route Sebt Gzoula 46014 SAFI Safi;32.28404;-9.22595;;;1;0;DM220497837;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;12:32;5;;RWJRNSHT;000524;Passage CNSS;Chaabi Cash M2t - Safi - Ville Nouvelle;+212679127094;+212679127094;;NÂ° 2 RÃ©sidence Al Mohit Rue Ibnou Khaldoune Ville Nouvelle Safi Safi;32.27967;-9.23819;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;12:50;5;;SGPTVTEK;004562;Passage CNSS;Tasshilat Laassiry;+212644230678;+212644230678;;Lot 496 Quartier Indistriel Amouni Kaouki Safi Safi;32.26135;-9.25192;;;1;0;DM220497837;M2T;M2T;;;;;
WWW;Hamid MERNISSI;18/04/2022;;09:30-13:00;;12:59;5;;BAPC9W4Q;083943;Passage CNSS;BC SAFI SIDI OUSSAL;+212602319342;+212602319342;;Quartier Kaouki 46005 SAFI Safi;32.25657;-9.24948;;;1;0;DM220497837;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;18/04/2022;;10:00-19:00;;14:40;5;;INVQEJSQ;098465;Passage CNSS;BC LI Sebt Gzoula;+212663583611;+212663583611;;9 Lots Asaad Sebt gzoula Sebt gzoula;32.1122612;-9.082762;;;1;0;DM220497837;M2T;BARID CASH;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;09:00-17:00;;09:04;5;;OIQ0VHUH___;;;Moroccan Bazaar, الحسن العمري;+212645600810;+212645600810;;Numero 33 Résidence ibligh Tiznit;29.69369662122011;-9.718799076513795;;;1;0;;;;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;09:00-17:00;;09:14;5;;35QAFUOH___;;;2WLS, Bouchra Ettanji;+212652048898;+212652048898;;00 Rue id zekri tiznit Tiznit;29.693392;-9.732156999999999;;;1;0;;;;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;10:00-19:00;;10:46;5;;RMSR11WD;003483;Passage CNSS;Chaabi Cash Grobatim Service;+212662070303;+212662070303;;Pres De Station Service Centre Mirleft Mirleft Mirleft;29.58168;-10.0347983;;;1;0;DM220497837;M2T;M2T;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;10:00-19:00;;10:53;5;;GQXSVPWF;083642;Passage CNSS;BC MIRELEFT;+212702003122;+212702003122;;Mirleft Centre 85352 TIZNIT Mirleft;29.5799;-10.03255;;;1;0;DM220497837;M2T;BARID CASH;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;10:00-19:00;;11:53;5;;QOKMX3BL;702178;Passage CNSS;SIDI IFNI;+212677998565;+212677998565;;N 52 BD HASSAN II Sidi ifni;29.37789;-10.17471;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;;;12:00;5;;{N8BTDIQW};;;AMINE AIT ALI, Driss;+212696371878;+212696371878;;Sidi ifni 1 Sidi ifni;29.3794626;-10.1763184;;;1;0;;;;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;09:00-17:00;;12:05;5;;EH1OYQM9___;;;YASSINE MOUHAYAT, halima;+212773374549;+212773374549;;sidi ifni 1 Sidi ifni;29.3794626;-10.1763184;;;1;0;;;;;;;;
23647 W 6;"Mohamed EL OURFI ";18/04/2022;;10:00-19:00;;15:11;5;;P060DYQC;097602;Passage CNSS;AWY TLETA EL AKHSASS;+212680122244;+212680122244;;P30,SOUK TLETA 85550,964V+4H LAKHSSAS Lakhsas;29.355111;-9.755861;;;1;0;DM220497837;M2T;BARID CASH;;;;;
