Plaque d'immatriculation;Agent;Date de depart;Date d'echeance;Creneau horaire de passage;Type d'intervention;Heure de passage prevu;Duree;Commentaires;Identifiant externe;Identifiant externe client;Prenom;Nom;Mobile;Telephone;Courriel;Adresse;Latitude;Longitude;Competence;Agent privilegie;Poids;Volume;Référence de commande;Hub;Partner;ID;VILLE;Pays;CS;Expéditeur
11980 - A - 73;Monsif  Akkaoui;30/03/2022;;10:00-19:00;;10:00;5;;XB3WPZIG;701678;;DAKHLA HAY AL WAHDA;2,12666E+11;2,12666E+11;;HAY EL WAHDA 3 N 2788 Avenue TAH Dakhla;23.70167;-15.94799;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
11980 - A - 73;Monsif  Akkaoui;30/03/2022;;10:00-19:00;;10:05;5;;TV8ANKMD;701848;;DAKHAL HAY ESSALAM;2,12707E+11;2,12707E+11;;HAY ESSALAM Dakhla;23.70167;-15.94799;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
11980 - A - 73;Monsif  Akkaoui;30/03/2022;;10:00-19:00;;10:27;5;;7FE4XARY;003739;;Chaabi Cash Cash 1486;2,12651E+11;2,12651E+11;;Avenue Mokaouama N1-908 Dakhla Dakhla;23.70076;-15.93074;;;1;0;DM220385952;M2T;M2T;;;;;
11980 - A - 73;Monsif  Akkaoui;30/03/2022;;10:00-19:00;;10:37;5;;F89RHAA9;000569;;Chaabi Cash M2t- Dakhla;2,12671E+11;2,12671E+11;;Hay Errahma Angle Avenue Mohamed Fadel Et Avenue Bahnini Dakhla Dakhla;23.6903;-15.94677;;;1;0;DM220385952;M2T;M2T;;;;;
11980 - A - 73;Monsif  Akkaoui;30/03/2022;;10:00-19:00;;10:43;5;;8KQWHNF8;006167;;Chaabi Cash Najla de Commerce et Services;2,12661E+11;2,12661E+11;;53 Rond Point Hay Salam Dakhla Dakhla;23.69067;-15.9505;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-19:00;;10:00;5;;JJOENS02;083462;;BC MOHAMMADIA GARE;2,12213E+11;2,12213E+11;;Rue Oued El Makhazine el kasbaÃ¿ 28013 MOHAMMEDIA CASABLANCA;33.6965165;-7.3874876;;;1;0;DM220385952;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;10:11;5;;LTOY4KT3;009532;;chaabi cash amalou cash;2,12661E+11;2,12661E+11;;Mag N 8 TER Residence Nakhil Rue Allal Ben Abdellah Mohammedia Mohammédia;33.70729;-7.3979;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-19:00;;10:23;5;;YAKRA2BN;083908;;BC MOHAMMADIA EL ALIA;2,12213E+11;2,12213E+11;;Angle Bd Tadla et Avenu maghreb el Arabi El Alia 28802 MOHAMMEDIA CASABLANCA;33.6868979;-7.3908216;;;1;0;DM220385952;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;10:29;5;;FTGRXO7C;700126;;MOUNASTIR;2,12634E+11;2,12634E+11;;DERB CHABAB A NUMERO 159 ALIA Mohammédia;33.68855;-7.38728;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;10:37;5;;QECHQWBN;000015;;Chaabi Cash Rifi Fedala Services;2,12662E+11;2,12662E+11;;N1 Bd Palestine Immeuble Aharbar Al Horia El Alia Mohammedia Mohammédia;33.69092;-7.38278;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;10:44;5;;PD5GEP3Z;700125;;HOURIA;2,12602E+11;2,12602E+11;;HOURIA 1N308 Mohammédia;33.69045;-7.37889;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;10:59;5;;7GDOP1RJ;009512;;Chaabi Cash Extra Damane;2,12662E+11;2,12662E+11;;N 455 Rdc Essaada Bd Oued Eddahab El Alia Mohammedia Essaada Mohammadia Mohammédia;33.68136;-7.39485;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;11:06;5;;F3ZXFXUF;009388;;Chaabi Cash Agence SH2AD;2,12661E+11;2,12661E+11;;Hassania 2 N93 Imm La Samir El Alia Mohammedia Mohammédia;33.67777;-7.3916;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;11:12;5;;YTAPD4LD;009417;;Chaabi Cash Focus Pro Informatique;2,12667E+11;2,12667E+11;;181 Kinani Rdc Mag Alia Mohammedia Mohammédia;33.67628;-7.39295;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;11:22;5;;GAWR6KSE;701743;;FATH 2;2,12677E+11;2,12677E+11;;Quartier fath 2 N 396 Mohammédia;33.6703;-7.38885;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;11:37;5;;PSOG4JGY;702113;;EL FATH 1;2,12662E+11;2,12662E+11;;ZL FATH 1 GP 5 N4 BEN YAKHLEF Mohammédia;33.66593;-7.36582;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-19:00;;11:45;5;;JFXPAKVA;097564;;PCSH MOHAMMEDIA PROJET;2,12213E+11;2,12213E+11;;LOTISSEMENT FATH 1 SIDI MOUSSA EL MAJDOUB GROUPE 9 NÃ¸148 CASABLANCA;33.661728;-7.362857;;;1;0;DM220385952;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;11:53;5;;KF3SQYXU;700608;;Riad salam benyakhlef;2,12662E+11;2,12662E+11;;RIAD SALAM N 04BENYAKHLEF Mohammédia;33.66583;-7.35692;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;12:07;5;;8IGRCPCE;009503;;Chaabi Cash Sara Botola;2,12661E+11;2,12661E+11;;Lotissement Fadl Allah Bd Sebta Rdc Imm N 7 Mohammedia Lotissement Fadl Allah Mohammadia Mohammédia;33.69092;-7.37113;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-13:00;;12:23;5;;EIOGTZIL;700086;;HAY NAHDA MOHAMMEDIA;2,12661E+11;2,12661E+11;;55 HAY NAHDA Mohammédia;33.69952;-7.35486;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;11:00-15:00;;13:17;5;;NXYTUL5H;001253;;Chaabi Cash Noaz;2,12687E+11;2,12687E+11;;Rc N2 Imm 127 Lot Les Jardins Cym Bouznika Bouznika;33.80442;-7.15635;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-19:00;;13:27;5;;M2KGTYWT;083667;;BC BOUZNIKA;2,12213E+11;2,12213E+11;;Avenue Hassan II 13102 BOUZNIKA CASABLANCA;33.7884078;-7.1611065;;;1;0;DM220385952;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;11:00-15:00;;13:34;5;;UF1N4HZF;700832;;BOUZNIKACTRIAD;2,12666E+11;2,12666E+11;;358 CITE RIAD BOUZNIKA Bouznika;33.78124;-7.15866;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;11:00-15:00;;13:41;5;;QUPFDYZ8;001373;;Tasshilat Techfond;2,12675E+11;2,12675E+11;;Mag N01 Imm N1317 Bd Bir Anzaran Bouznika Bir Anzaran Bouznika Bouznika;33.77704;-7.15735;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;11:00-15:00;;13:49;5;;XAZAWZVS;000546;;Chaabi Cash M2t - Bouznika - Cite Al Amal;2,12669E+11;2,12669E+11;;NÂ°62 Cite Al Amal Bouznika Bouznika;33.7717;-7.15896;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;13:00-19:00;;14:28;5;;QC2HCBAF;003745;;Chaabi Cash Les Services Au Rendez Vous;2,12665E+11;2,12665E+11;;N7 Immeuble Al Mostakbal Rdc Hay Salam Benslimane Benslimane;33.62729;-7.13169;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-19:00;;14:35;5;;55SS6N16;083411;;BC BENSLIMANE FATH;2,12213E+11;2,12213E+11;;Bd Hassan IIÃ¿ Quartier El Farah 13002 Benslimane CASABLANCA;33.625028;-7.129725;;;1;0;DM220385952;M2T;BARID CASH;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;13:00-19:00;;15:37;5;;KYAZXVPI;700517;;Sidi batach;2,12674E+11;2,12674E+11;;Hay Pam Sidi battach centre Benslimane;33.5615;-6.88855;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;13:00-19:00;;17:47;5;;K7VRMTCP;003642;;Tasshilat Kholti;2,12661E+11;2,12661E+11;;Centre Jemaa De Mllila Benslimane Mellila Benslimane Benslimane;33.38793;-7.14843;;;1;0;DM220385952;M2T;M2T;;;;;
75940-H-6;Mourad HANOUNI;30/03/2022;;10:00-19:00;;18:58;5;;4Z6DHNJV;097913;;FNR SIDI MOUSSA BEN ALI;2,12213E+11;2,12213E+11;;CENTRE SIDI MOUSSA BEN ALI ENFACE STATION IFRIQUIA CASABLANCA;33.561743;-7.37544;;;1;0;DM220385952;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;10:00;5;;NC6I1RDN;024029;;Chaabi Cash M2t - Les Oliviers - Safi;2,1267E+11;2,1267E+11;;Lotissement Les Oliviers Lot 20 Safi Safi;32.29026;-9.24108;;;1;0;DM220385952;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;10:07;5;;REPVUZPA;700207;;HNIA HAMRIA;2,12667E+11;2,12667E+11;;N 114 AV DRISS BENACER LALLA HNIA HAMRIA Safi;32.29523;-9.24201;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;10:16;5;;FVZ4WBVJ;004508;;Tasshilat El Hachimi;2,12661E+11;2,12661E+11;;N108 Rue Des Alpes Jnane Chekkouri Safi Safi;32.30763;-9.23559;;;1;0;DM220385952;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;10:23;5;;GXLCRMH2;004530;;Chaabi Cash Web Corner;2,12667E+11;2,12667E+11;;N132 Avenue Colomb Quartier Sidi Abdelkerim Safi Safi;32.31175;-9.22859;;;1;0;DM220385952;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;10:32;5;;YCWADOH7;004565;;Chaabi Cash Cafe Mzoughan;2,12661E+11;2,12661E+11;;Lot N 29 Lotissement Nafda Safi Safi;32.32423;-9.23076;;;1;0;DM220385952;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;10:39;5;;1XTMNGFL;097933;;CTBÃ¿ ANDALOUS SAFIÃ¿;2,12213E+11;2,12213E+11;;FKIH HASKOURI, SAFI CASABLANCA;32.328173;-9.223043;;;1;0;DM220385952;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;11:27;5;;A3P9CG6C;098860;;BC EC JAMAAT SHAIM;2,12662E+11;2,12662E+11;;38 BLVRD MED 5 ,QUARTIER ELHARCH. Jamaat shaim;32.34445;-8.8456;;;1;0;DM220383505;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:03;5;;TMIQSWMC;098861;;BC EC YOUSSOUFIA;2,12662E+11;2,12662E+11;;NO 7 QUQRTIER SMARA RE MIKHAIL NOUAIMA Youssoufia;32.251818;-8.534028;;;1;0;DM220383505;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:15;5;;3GRNFPIP;700979;;YOUSSOUFIA LAGHDIR;2,12661E+11;2,12661E+11;;N° 256 QUARTIER LAGHDIR Youssoufia;32.247647;-8.53265;;;1;0;DM220383505;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:20;5;;SCH3OWXO;006512;;Chaabi Cash Kanal Sys;2,12639E+11;2,12639E+11;;24 Bis Place Des Far Hay Hassani Youssoufia Youssoufia;32.247647;-8.53265;;;1;0;DM220383505;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:25;5;;T0LPOFKT;700979;;YOUSSOUFIA LAGHDIR;2,12661E+11;2,12661E+11;;N° 256 QUARTIER LAGHDIR Youssoufia;32.247647;-8.53265;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:31;5;;25XLDGAT;701953;;YOUSSOUFIA HAY HASSANI;2,12661E+11;2,12661E+11;;IMM ERAC QU HASSANI BIR ANZARANE Youssoufia;32.243297;-8.536474;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:36;5;;25D0ZXAR;701953;;YOUSSOUFIA HAY HASSANI;2,12661E+11;2,12661E+11;;IMM ERAC QU HASSANI BIR ANZARANE Youssoufia;32.243297;-8.536474;;;1;0;DM220383505;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;13:42;5;;O7TPTRVO;700088;;ELYOUSSOUFIA2;2,12662E+11;2,12662E+11;;N 2 (A) Z,A,E CITE HASSANI YOUSSOUFIA Youssoufia;32.238874;-8.539113;;;1;0;DM220383505;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;14:05;5;;WOA0S1VH;006376;;Chaabi Cash Cash for you;2,12661E+11;2,12661E+11;;N 17 Rue El Qods Q EL Hassani Sidi Ahmed Youssoufia Youssoufia;32.20934;-8.49138;;;1;0;DM220384298;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;15:06;5;;A0HXOHA2;003157;;Chaabi Cash Ahmar;2,12668E+11;2,12668E+11;;NÂ°5 La Gare Chemaia Province De Youssoufia Quartier El Massira Chemaia Youssoufia;32.08175;-8.62337;;;1;0;DM220383505;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;15:11;5;;OYLX4IWX;083960;;BCÃ¿CHEMAIA;2,12213E+11;2,12213E+11;;Route de Marrakech Quartier Administratif 46053 ECHEMMAIA CASABLANCA;32.0802859;-8.6220842;;;1;0;DM220385952;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;15:16;5;;IBJTNCGT;083960;;BCÃ¿CHEMAIA;2,12213E+11;2,12213E+11;;Route de Marrakech Quartier Administratif 46053 ECHEMMAIA CASABLANCA;32.0802859;-8.6220842;;;1;0;DM220383505;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;15:23;5;;DHTNZTSL;701003;;CHEMAIA 2;2,12661E+11;2,12661E+11;;N 6 BOULEVARD DES FORCES AUXILIAIRE Echemmaia;32.068975;-8.626377;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;15:52;5;;6O5Y6I9P;702393;;JDOUR;2,12682E+11;2,12682E+11;;CENTRE JDOUR Jdour;32.107184;-8.780549;;;1;0;DM220383505;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;16:26;5;;4GWKFARS;004533;;Chaabi Cash Houbadi Services;2,12695E+11;2,12695E+11;;Centre Bouguedra Bouguedra Bouguedra;32.2547;-8.9812;;;1;0;DM220383505;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;16:59;5;;WW7UTESG;700307;;LAMYAA;2,12674E+11;2,12674E+11;;Lotissement Lamia bloc 5 N 53 Safi;32.30689;-9.21271;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;17:22;5;;UOJ5IMND;083446;;BC SAFI AZIB DRAI;2,12213E+11;2,12213E+11;;Av Ibn BattoutaÃ¿ Quartier Azib Drai 46002 SAFI CASABLANCA;32.292944;-9.219847;;;1;0;DM220385952;M2T;BARID CASH;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;17:30;5;;WJFITHLL;004546;;Tasshilat Info Bled Jed;2,12666E+11;2,12666E+11;;N20 Bis Rue Abdeslam Mjid Quartier Bled El Jed Safi Safi Safi;32.2914;-9.22231;;;1;0;DM220385952;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;17:38;5;;APLNPXH8;004575;;Tasshilat Lamaachi Info;2,126E+11;2,126E+11;;N32 Av Allal Ben Abdellah Ville Nouvelle Safi Abdellah Ville Nouvelle Safi Safi;32.28475;-9.22233;;;1;0;DM220385952;M2T;M2T;;;;;
WWW;Hamid MERNISSI;30/03/2022;;10:00-19:00;;17:43;5;;ZZ574R3N;701391;;SAFI JERIFAT;2,12525E+11;2,12525E+11;;1 Bis Rue Ben Tahar Hay Jerifat Safi;32.285;-9.22324;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
