Nom;Code;SociÈtÈ liÈe
AIT MELLOUL HAY ALMOSTAQBAL;700539;CASH PLUS
AIT MELLOUL HAY ALMOUSAQBAL;702005;CASH PLUS
AIT OULAL;700773;CASH PLUS
AITMELLOUL;700407;CASH PLUS
AITOURIR;701981;CASH PLUS
AJANNIF;700794;CASH PLUS
AJDIR;701403;CASH PLUS
AKHFENNIR;701397;CASH PLUS
AKIOUD FR 2;701317;CASH PLUS
AKM TANGER BD PARIS;097514;BARID CASH
AKM TNIN CHTOUKA;097511;BARID CASH
AL ALIA;701547;CASH PLUS
AL AQABA;701913;CASH PLUS
AL INARA MEKNES;700803;CASH PLUS
AL MANAR;701025;CASH PLUS
AL MASSAR MARRAKECH;700236;CASH PLUS
AL Matar;702121;CASH PLUS
AL QODS AGADIR ;701868;CASH PLUS
ALALMA;701524;CASH PLUS
ALBOUSTANE 2 BERNOUSSI;701483;CASH PLUS
ALFIRDAOUS ZOAGHA;701568;CASH PLUS
ALHAOUAFATE;702273;CASH PLUS
ALHASSANI;701975;CASH PLUS
ALHOCEIMA;701348;CASH PLUS
ALHOCEIMAHASSAN2;701383;CASH PLUS
ALIA SIDI MOUMEN;701765;CASH PLUS
ALIENCE KASBA;701320;CASH PLUS
ALKA BERNOUSSI;098072;BARID CASH
ALKA DERB SULTAN;098074;BARID CASH
ALKA HAY MOHAMMADI;098075;BARID CASH
ALKA SIDI MOUMEN;098073;BARID CASH
ALKHALIL;700342;CASH PLUS
ALLAL BEN ABDELLAH ;702004;CASH PLUS
ALLAL BEN ABDELLAH OUAZZAN;701682;CASH PLUS
ALLIANCE MEHDIA;700137;CASH PLUS
ALMASSAR;701504;CASH PLUS
ALMASSIRA 2;700470;CASH PLUS
ALQODS GUELMIM;702218;CASH PLUS
ALQODS HAY SAADA ;701583;CASH PLUS
ALQODS3;701724;CASH PLUS
ALWAKALA;701301;CASH PLUS
ALWAN AL ISMAILIA Nador;701970;CASH PLUS
AM TANGER ACHNAD;097830;BARID CASH
AM TANGER OUAMA ;097831;BARID CASH
AMANIKIDAR cummune OUAKLIM;700741;CASH PLUS
AMY AGADIR SOUK EL HAD;097603;BARID CASH
ANANAS OUJDA;700904;CASH PLUS
AOUAMA AL GHARBIYA;702017;CASH PLUS
AOUFOUS CENTRE;700221;CASH PLUS
AOULOUZ;701318;CASH PLUS
AROMA ASKJOUR MHALID;701762;CASH PLUS
ARST IHIRI BABDOUKKALA;700831;CASH PLUS
ASJENN;702352;CASH PLUS
ASNI;701684;CASH PLUS
ASSAYS AIT MELLOUL;702148;CASH PLUS
ASSMALEK;701985;CASH PLUS
ASSOUL;700812;CASH PLUS
ASSRIR;700598;CASH PLUS
ATAOUIYA 2;700183;CASH PLUS
ATTOUFANI ELJADIDA;700451;CASH PLUS
AV FES;702214;CASH PLUS
AV MOHAMED 6;701079;CASH PLUS
AVENUE AL AMN;702262;CASH PLUS
AVENUE DES FAR;700052;CASH PLUS
AVENUE MED V BENGUERIR;701541;CASH PLUS
AVENUE MOHAMED TRIAAI;700232;CASH PLUS
AWY LQLIAA;098986;BARID CASH
AWY QUARTIER INDUSTRIEL AGADIR;098987;BARID CASH
AWY TIZNIT SIDI ABDERRAHMANE;098990;BARID CASH
AWY TLETA EL AKHSASS;097602;BARID CASH
AZ FOUM AL ANSAR;097772;BARID CASH
AZ IGHREM LAALAM;097774;BARID CASH
AZ OULED ZMAM;097773;BARID CASH
AZEMMOUR Eurosol;701990;CASH PLUS
AZOUZIA GARE ROUTI…RE;700289;CASH PLUS
AZROU av hassan II ( COG);700734;CASH PLUS
Aaouinate hjjaj;700292;CASH PLUS
Abou Alaa Beni mellal;701612;CASH PLUS
Administratif sidi alal bahraoui;701964;CASH PLUS
Agadir KETTANI;700661;CASH PLUS
Agadir boulevard imam Boukhari;701608;CASH PLUS
Agadir complexe MARINA ;701803;CASH PLUS
Agadir la gare;700280;CASH PLUS
Ain Ktiouet;700651;CASH PLUS
Ain Sbaa Disney;700240;CASH PLUS
Ait Majdane;700931;CASH PLUS
Ait Melloul Hay TAMAZART;702236;CASH PLUS
Ait Melloul Quartier Industriel;700234;CASH PLUS
Ait melloul Quartier Admin;700507;CASH PLUS
Ait ouagmar oued Essafa;701688;CASH PLUS
Al Firdaous ain aouda;701791;CASH PLUS
Al Omrane;700552;CASH PLUS
Al ouahda nador;700615;CASH PLUS
Al raid route ait tislit;701772;CASH PLUS
Aljayche al malaki;701712;CASH PLUS
Aljazira Mall;700954;CASH PLUS
Aourir Hay Igueroufoulous;700196;CASH PLUS
Arrahma 80;700733;CASH PLUS
Assalam;701855;CASH PLUS
Atacadao sidikacem;700796;CASH PLUS
BAB AHMER;701735;CASH PLUS
BAB ALGHOUL;702172;CASH PLUS
BAB BARRED;701273;CASH PLUS
BAB EL AIN;702248;CASH PLUS
BAB MARZOUKA ;700830;CASH PLUS
BAJGANI;701888;CASH PLUS
BALADIA;700390;CASH PLUS
BALADIYA KSAR EL KBIR PR;700459;CASH PLUS
BAS CASH TOUNDOUT;097676;BARID CASH
BAYT EL FATH;702217;CASH PLUS
BAYTI SAKANE OULFA;700641;CASH PLUS
BAZILIK;701126;CASH PLUS
BC  TANGER CASABARATA;098157;BARID CASH
BC AFOURER;083793;BARID CASH
BC AGADIR BENSERGAO;083660;BARID CASH
BC AGADIR FOUNTY;083659;BARID CASH
BC AGADIR HAY AL WAFA;083429;BARID CASH
BC AGADIR HAY DAKHLA;083661;BARID CASH
BC AGADIR PPAL;083806;BARID CASH
BC AGUELMOUSS;083443;BARID CASH
BC AHFIR;083678;BARID CASH
BC AIN EL OUDA;083453;BARID CASH
BC AIT MELLOUL ZONE INSUSTRIELLE;083430;BARID CASH
BC AKLIM;083740;BARID CASH
BC ALKARAMA EL JADIDA 02;098138;BARID CASH
BC ALKARAMA FÇs Atlas;098114;BARID CASH
BC ALKARAMA Koulouche;098122;BARID CASH
BC ALKARAMA MARRAKECH;098103;BARID CASH
BC ALKARAMA NADOR;098111;BARID CASH
BC ALKARAMA SOUK SEBT;098098;BARID CASH
BC ALKARAMA YOUSSOUFIA;098090;BARID CASH
BC AMEZMEZ;098156;BARID CASH
BC AMIZMIZ;083415;BARID CASH
BC AOULOUZ;083723;BARID CASH
BC ASSILAH;083996;BARID CASH
BC ATTAOUIA ECHCHEIBIYA;083904;BARID CASH
BC AZEMMOUR OUM ERRABIA;083621;BARID CASH
BC AZEMMOUR PPAL;083690;BARID CASH
BC AZILAL;083714;BARID CASH
BC AZILAL MEDINA;083449;BARID CASH
BC AZROU AHADAF;083893;BARID CASH
BC Agadir Talborj;083880;BARID CASH
BC BASSATINE AL MENZEH;083633;BARID CASH
BC BD BAB TAZA;098181;BARID CASH
BC BD EL GARA;098178;BARID CASH
BC BD EL HAJEB;098179;BARID CASH
BC BD KSAR LBHAR;098183;BARID CASH
BC BD MOULAY DRISS ZERHOUNE ;098184;BARID CASH
BC BD SALMIA 2 CASA;098177;BARID CASH
BC BD SIDI REDOUANE;098188;BARID CASH
BC BEN AHMED;083988;BARID CASH
BC BENGUERIR VILLE ;083756;BARID CASH
BC BENI BOUAYACH;083764;BARID CASH
BC BENI DRAR;083697;BARID CASH
BC BENI MELLAL PPAL;083825;BARID CASH
BC BENSLIMANE FATH ;083411;BARID CASH
BC BERKANE EL OUIDADAYA;083765;BARID CASH
BC BERKANE PPAL;083675;BARID CASH
BC BERRECHID HAY HASSANI ;083416;BARID CASH
BC BERRECHID YASSMINA;083857;BARID CASH
BC BNI AHMED;083450;BARID CASH
BC BOUARFA;083681;BARID CASH
BC BOULANOUAR;083644;BARID CASH
BC BOUSKOURA;083780;BARID CASH
BC BOUZNIKA;083667;BARID CASH
BC Beni Mellal Oulad Hamdane;083903;BARID CASH
BC CASA 2 MARS;083881;BARID CASH
BC CASA ABDELKADER ESSAHRAOUI;083419;BARID CASH
BC CASA ABDELMOUMEN;083652;BARID CASH
BC CASA AIN BORJA;083926;BARID CASH
BC CASA AIN CHOK;083696;BARID CASH
BC CASA AIN DIAB;083727;BARID CASH
BC CASA AIN HARROUDA;083962;BARID CASH
BC CASA AIN SEBAA PLAGE;083423;BARID CASH
BC CASA ATTACHAROUK;083787;BARID CASH
BC CASA AZHARI;083847;BARID CASH
BC CASA BD DE PARIS;083629;BARID CASH
BC CASA BD EL GUERNAOUI;083630;BARID CASH
BC CASA BERNOUSSI;083946;BARID CASH
BC CASA BOULEVARD BOURGOGNE;083909;BARID CASH
BC CASA BOURSE;083669;BARID CASH
BC CASA BOUSMARA;083907;BARID CASH
BC CASA DERB SIDNA;083813;BARID CASH
BC CASA ENNASSIM;083957;BARID CASH
BC CASA GARE;083941;BARID CASH
BC CASA GHANDI;083949;BARID CASH
BC CASA HAOUZIA;083911;BARID CASH
BC CASA HAY EL BARAKA;083925;BARID CASH
BC CASA HAY EL FALAH;083797;BARID CASH
BC CASA HAY EL FARAH;083950;BARID CASH
BC CASA HAY HASSANI;083811;BARID CASH
BC CASA HAY JAMILA;083783;BARID CASH
BC CASA HAY MOHAMMADI;083854;BARID CASH
BC CASA HAY RMILA;083782;BARID CASH
BC CASA IBN TACHAFINE;083814;BARID CASH
BC CASA JAWHARA;083846;BARID CASH
BC CASA JAWHARAT RAHMA;083438;BARID CASH
BC CASA JOULANE;083910;BARID CASH
BC CASA MCALLA;083924;BARID CASH
BC CASA MOHAMED VI;083695;BARID CASH
BC CASA OULFA;083816;BARID CASH
BC CASA OUM RABIAA;083724;BARID CASH
BC CASA PPAL;083948;BARID CASH
BC CASA QUARTIER DES HOPITAUX;083766;BARID CASH
BC CASA ROUDANI;083774;BARID CASH
BC CASA SIDI MOUMEN;083712;BARID CASH
BC DAR BOUAZZA;083781;BARID CASH
BC DCHEIRA;083877;BARID CASH
BC DRIOUCH;083649;BARID CASH
BC EC EL BROUJ;098863;BARID CASH
BC EC JAMAAT SHAIM;098860;BARID CASH
BC EC SMIMOU;098868;BARID CASH
BC EC YOUSSOUFIA;098861;BARID CASH
BC ECˇ SIDI ZOUINE;098867;BARID CASH
BC EL AIOUN;083898;BARID CASH
BC EL HAJEB;083795;BARID CASH
BC EL HARHOURA;083734;BARID CASH
BC EL JADIDA BIR ANZARANE;083942;BARID CASH
BC EL JADIDA JOUHARA;083799;BARID CASH
BC EL JADIDA SAADA;083855;BARID CASH
BC EMILE ZOLA;083448;BARID CASH
BC ERRACHIDIA BOUTALAMINE;083838;BARID CASH
BC ERRACHIDIA PPAL;083682;BARID CASH
BC ESSAOUIRA PPAL;083961;BARID CASH
BC FES AGDAL;083410;BARID CASH
BC FES AL WIFAQ;083442;BARID CASH
BC FES ANNARJIS;083761;BARID CASH
BC FES BATHA;083902;BARID CASH
BC FES BENSOUDA;083679;BARID CASH
BC FES DOKKARAT;083964;BARID CASH
BC FES JDID;083906;BARID CASH
BC FES JENANATE;083888;BARID CASH
BC FES PPAL;083827;BARID CASH
BC FKIH BAN SALAH ALLAL BEN ABDELLAH;083872;BARID CASH
BC FKIH BEN SALAH PPAL;083823;BARID CASH
BC FKIH BEN SALEH GARE;083623;BARID CASH
BC FOUM JEMAA;083414;BARID CASH
BC FRC SIDI BIBI;098430;BARID CASH
BC FRC TIKIOUINE;098431;BARID CASH
BC GUERCIF;098108;BARID CASH
BC GUERCIF ;098108;BARID CASH
BC HAD SOUALEM;083403;BARID CASH
BC IMINTANOUNTE;083715;BARID CASH
BC IMOUZER KANDAR;083972;BARID CASH
BC IMZOUREN;083884;BARID CASH
BC INEZGANE MESDOURA;083643;BARID CASH
BC INEZGANE PPAL;083915;BARID CASH
BC INEZGANE TARRAST;083769;BARID CASH
BC JEBHA;083641;BARID CASH
BC JMM KHOURIBGA MOHAMED VI;098410;BARID CASH
BC KENITRA ANCIENNE MEDINA ;083439;BARID CASH
BC KENITRA KHABBAZATE;083901;BARID CASH
BC KENITRA NOUVELLE MEDINA;083951;BARID CASH
BC KENITRA OULAD OUJIH;083687;BARID CASH
BC KENITRA VILLE HAUTE;083753;BARID CASH
BC KHEMIS AIT YADDINE;083452;BARID CASH
BC KHEMIS DES ZEMAMRA;083440;BARID CASH
BC KHEMISSET ESSAADA;083777;BARID CASH
BC KHENIFRA AMALOU IGHRIBEN;083755;BARID CASH
BC KHENIFRA BOUFOULOUSSEN;083870;BARID CASH
BC KHENIFRA PPAL;083837;BARID CASH
BC KHLALFA;083760;BARID CASH
BC KHOURIBGA AL AMAL;083745;BARID CASH
BC KHOURIBGA HAY ESSALAM;083866;BARID CASH
BC KHOURIBGA NAHDA;083861;BARID CASH
BC KSAR KEBIR PPAL;083842;BARID CASH
BC KSAR SGHIR;083732;BARID CASH
BC KSER KBIR HAY SALAM;083998;BARID CASH
BC LAAYOUNE PORT;083458;BARID CASH
BC LAAYOUNE VILLE;083912;BARID CASH
BC LALLA MIMOUNA;083634;BARID CASH
BC LARACHE;083929;BARID CASH
BC LI Sebt Gzoula;098465;BARID CASH
BC MARRAKECH AIT DAOUD;083437;BARID CASH
BC MARRAKECH AL FADL;083406;BARID CASH
BC MARRAKECH ALLAL EL FASSI;083412;BARID CASH
BC MARRAKECH AMERCHICH;083890;BARID CASH
BC MARRAKECH BAB AGNAOU;083773;BARID CASH
BC MARRAKECH BORJ ZAITOUN;083422;BARID CASH
BC MARRAKECH DIOUR ECHCHOUHADA;083436;BARID CASH
BC MARRAKECH DOUAR IZIKI;083719;BARID CASH
BC MARRAKECH HAY MOHAMMADI;083691;BARID CASH
BC MARRAKECH PPAL;083834;BARID CASH
BC MARRAKECH SIDI ABBAD;083891;BARID CASH
BC MARTIL;083905;BARID CASH
BC MEDIOUNA;083447;BARID CASH
BC MEKNES BORJ MOULAY OMAR;083892;BARID CASH
BC MEKNES BOUSTANE;083645;BARID CASH
BC MEKNES CHOUHADA;083759;BARID CASH
BC MEKNES EL WIFAK;083635;BARID CASH
BC MEKNES KORTOBA;083990;BARID CASH
BC MEKNES SIDI BOUZEKRI;083989;BARID CASH
BC MIDAR;083648;BARID CASH
BC MIDELT;083460;BARID CASH
BC MIRELEFT;083642;BARID CASH
BC MISSOUR;083887;BARID CASH
BC MOHAMMADIA EL ALIA;083908;BARID CASH
BC MOHAMMADIA GARE;083462;BARID CASH
BC MOHAMMADIA HASSANIA;083428;BARID CASH
BC MOHAMMADIA RACHIDIA;083928;BARID CASH
BC MOHAMMEDIA PPAL;083725;BARID CASH
BC MONTE ARRUIˇ MASSIRA;083869;BARID CASH
BC MOULAY ABDALLAH;083431;BARID CASH
BC MRIRT;083969;BARID CASH
BC MRIRT BOULACHFAR;083798;BARID CASH
BC OASIS GARE;083871;BARID CASH
BC OUARZAZATE TAOURIRT;083638;BARID CASH
BC OUEZZANE;083992;BARID CASH
BC OUISLANE;083721;BARID CASH
BC OUJDA ERRIAD;083896;BARID CASH
BC OUJDA PPAL;083839;BARID CASH
BC OUJDA TAKADOUM;083897;BARID CASH
BC OULAD ABBOU;083444;BARID CASH
BC OULAD TEIMA HAY EL KOURSI;083770;BARID CASH
BC OULED FREJ;083646;BARID CASH
BC OULED TAIMA;083916;BARID CASH
BC OUTAT EL HAJ;083737;BARID CASH
BC RABAT AKKARI;083933;BARID CASH
BC RABAT ALINBIAT;083404;BARID CASH
BC RABAT CHELLAH ;083699;BARID CASH
BC RABAT ENNAHDA;083666;BARID CASH
BC RABAT IRFANE;083971;BARID CASH
BC RABAT MECHOUAR;083752;BARID CASH
BC RABAT RP;083779;BARID CASH
BC RABAT RYAD;083673;BARID CASH
BC RETBA;083762;BARID CASH
BC RHAFSAI;083407;BARID CASH
BC SAFI AL MASSIRA ˇ;083445;BARID CASH
BC SAFI AZIB DRAI;083446;BARID CASH
BC SAFI LES COURSES;083626;BARID CASH
BC SAFI SIDI BOUDHAB;083944;BARID CASH
BC SAFI SIDI OUSSAL;083943;BARID CASH
BC SAHRIJ;083401;BARID CASH
BC SAIDIA;083919;BARID CASH
BC SALE BAB CHAAFA;083754;BARID CASH
BC SALE EL JADIDA ;083688;BARID CASH
BC SALE HAY ESSALAM;083900;BARID CASH
BC SALE HAY KARIMA;083987;BARID CASH
BC SALE LAYAYDA;083945;BARID CASH
BC SALE MOHAMMADI;083931;BARID CASH
BC SALE SIDI MOUSSA;083935;BARID CASH
BC SC AKKA;098289;BARID CASH
BC SC FAM ZGUID;098297;BARID CASH
BC SC MOULAY BOUAZZA;098298;BARID CASH
BC SC SKOURA;098295;BARID CASH
BC SC TALIOUINE CENTRE;098287;BARID CASH
BC SC TIRHMITIZNIT;098291;BARID CASH
BC SCT CASH OUJDA AL HIKMA;098279;BARID CASH
BC SCTˇ KELAA MEGOUNA;098285;BARID CASH
BC SCˇ CENTRE TIOUGHZA SIDI IFNI;098288;BARID CASH
BC SEBAA AIOUN;083622;BARID CASH
BC SEBT OULAD NEMMA;083418;BARID CASH
BC SEBT OULAD NEMMA FAR;083654;BARID CASH
BC SEFROU PPAL;083680;BARID CASH
BC SELOUANEˇ;083738;BARID CASH
BC SETTAT;098140;BARID CASH
BC SETTAT SAMIR;083746;BARID CASH
BC SIDI ADDI;083636;BARID CASH
BC SIDI BENNOUR;083956;BARID CASH
BC SIDI BOUZID;083435;BARID CASH
BC SIDI KACEM;083985;BARID CASH
BC SIDI YOUSSEF BEN ALI ;098104;BARID CASH
BC SKHOUR REHAMNA;083639;BARID CASH
BC SKOURA SEGHROUCHEN;083763;BARID CASH
BC SOUK LARBAA ;083729;BARID CASH
BC TADLA BOUDRAA;083824;BARID CASH
BC TADLA PPAL;083937;BARID CASH
BC TAFTECHT;083455;BARID CASH
BC TAGOUNITE;083775;BARID CASH
BC TAMEGROUTE;083463;BARID CASH
BC TANGER BIR CHIFA;083631;BARID CASH
BC TANGER BNI MAKKADA;083768;BARID CASH
BC TANGER DAR MOUIGNA;083426;BARID CASH
BC TANGER DRADEB;083461;BARID CASH
BC TANGER GZENAYA;083994;BARID CASH
BC TANGER MAJD;083664;BARID CASH
BC TANGER MSALLAH;083720;BARID CASH
BC TANGER PPAL;083841;BARID CASH
BC TANGER VAL FLEURI;083995;BARID CASH
BC TAOURIRT;083879;BARID CASH
BC TARGUISTE;083883;BARID CASH
BC TAROUDANT;083662;BARID CASH
BC TATA;083885;BARID CASH
BC TAZA GARE;083794;BARID CASH
BC TAZA HAUT;083981;BARID CASH
BC TAZA PPAL;083873;BARID CASH
BC TEMARA AL WIFAK;083771;BARID CASH
BC TEMARA FATH EL KHEIR;083772;BARID CASH
BC TEMARA FOUARATE;083735;BARID CASH
BC TEMARA PPAL;083803;BARID CASH
BC TETOUAN TOUABEL;083980;BARID CASH
BC TETOUANE MHANNECH;083658;BARID CASH
BC TETOUANE SIDI TALHA;083657;BARID CASH
BC TIFLET;083850;BARID CASH
BC TNINE LAMHAYA;083408;BARID CASH
BC TNINE OUDAYA;083405;BARID CASH
BC TêTOUAN M'DIQ;083844;BARID CASH
BC WINAS TARMIGTE;098560;BARID CASH
BC ZAGORA;083983;BARID CASH
BC ZAIO;083677;BARID CASH
BC ZEGHANGHAN;083952;BARID CASH
BC ˇBEN TIB ˇ;083432;BARID CASH
BCTJ CASA AL HADIKA;097704;BARID CASH
BCTJ OULED OUJIH ;097703;BARID CASH
BCTJˇ BZOU ;097701;BARID CASH
BCˇCHEMAIA;083960;BARID CASH
BCˇMEKNES BNI MHAMED;083894;BARID CASH
BCˇOUARZAZATE;083967;BARID CASH
BCˇRABAT GUICH OUDAYA;083653;BARID CASH
BD AIT ISHAK ;098186;BARID CASH
BD BIRANZARAN Tinghir;700775;CASH PLUS
BD BOUDARBALA;098189;BARID CASH
BD FES BENSOUDA ;098172;BARID CASH
BD ZOUMI ;098187;BARID CASH
BEJZEKRAOUI;700605;CASH PLUS
BELFKIHˇTNINE GHARBIA;097924;BARID CASH
BELLE VUE KHEMISSAT;701614;CASH PLUS
BENGUERIR;700401;CASH PLUS
BENI AAROUS;701649;CASH PLUS
BENI CHIKER;701315;CASH PLUS
BENSLIMANE FES;701457;CASH PLUS
BERALAHRAM;702007;CASH PLUS
BERELYOUSSFI;700093;CASH PLUS
BERKANE;701345;CASH PLUS
BERKANE WIDADYA;700718;CASH PLUS
BERNOUSSI;700364;CASH PLUS
BERNOUSSI AZHAR;700149;CASH PLUS
BERRECHID LA GARE;702302;CASH PLUS
BHALIL;701686;CASH PLUS
BIOUGRA DERB GNAOUA;700276;CASH PLUS
BIR CHIFA 2;701556;CASH PLUS
BIR CHIFA TANGER;701905;CASH PLUS
BIR MEZOUI;702387;CASH PLUS
BLOC RIYAD HAY MOHAMMADI;700916;CASH PLUS
BNI HADIFA;702388;CASH PLUS
BNI KHLOUG;701227;CASH PLUS
BNI ZOLI;701319;CASH PLUS
BOUAAKAZ;701886;CASH PLUS
BOUARFA;702001;CASH PLUS
BOUCHANE;702389;CASH PLUS
BOUCHFAA;700510;CASH PLUS
BOUDHAR;702132;CASH PLUS
BOUDNIB;700981;CASH PLUS
BOUGAFER TINGHIR;701683;CASH PLUS
BOUHDILA;702102;CASH PLUS
BOUHLOU;702390;CASH PLUS
BOUHOUDA CENTRE;700871;CASH PLUS
BOUJNIBA;700356;CASH PLUS
BOUKIDAREN;701918;CASH PLUS
BOUKNADEL;700956;CASH PLUS
BOUMIA MARCHE;702212;CASH PLUS
BOUZGAR;701172;CASH PLUS
BOUZIANE;701986;CASH PLUS
BOUZNIKACTRIAD;700832;CASH PLUS
BRANES;700023;CASH PLUS
BRANES KEDIMA;701550;CASH PLUS
BSF HAOUAMA EL HADAD;097738;BARID CASH
BT OUJDA SAADA ;097682;BARID CASH
Bab Anassi 3;700300;CASH PLUS
Bab fes;701024;CASH PLUS
Bab lmkam;700857;CASH PLUS
Bensouda Centre;701597;CASH PLUS
Bir jdid lmahatta;701706;CASH PLUS
Bni ouassine;701471;CASH PLUS
Bni oukil;700895;CASH PLUS
Boujdour Widadyat taalim;700910;CASH PLUS
Boujdour la Corniche;701535;CASH PLUS
Boulevard Rabat Beni Mellal;700238;CASH PLUS
Boulevard Tah;700461;CASH PLUS
Boured Centre;700490;CASH PLUS
Brahma bd annecr;700327;CASH PLUS
CAFE MAURE;702139;CASH PLUS
CASA AFRIQUIA;700882;CASH PLUS
CASA BOURNAZEL;700148;CASH PLUS
CASA SIDI MAAROUF;701392;CASH PLUS
CASALQODS2;701195;CASH PLUS
CASANASSIPR;700414;CASH PLUS
CASANGLAIS;700940;CASH PLUS
CASBDAFGHANISTAN;701364;CASH PLUS
CASCHAHDIA;700396;CASH PLUS
CASELOULFA;701145;CASH PLUS
CASHPLUS YACOUT;700286;CASH PLUS
CASHPOP SALA AL JADIDA;097960;BARID CASH
CASMAARIF;701368;CASH PLUS
CASTERMINUS81;700062;CASH PLUS
CASTOUMERT;700398;CASH PLUS
CC OULFA EL HAJ FATEHˇ ;097818;BARID CASH
CENTRE AGOUIM;701443;CASH PLUS
CENTRE AIT ATTAB;700765;CASH PLUS
CENTRE ALANIF;700138;CASH PLUS
CENTRE AOURIR;700227;CASH PLUS
CENTRE BELFAA;700200;CASH PLUS
CENTRE BENI CHEGDALE;700738;CASH PLUS
CENTRE BRAKSA;702391;CASH PLUS
CENTRE GUISSER;702245;CASH PLUS
CENTRE IDAOUSEMELAL;702096;CASH PLUS
CENTRE IMOUZZER KANDER;700502;CASH PLUS
CENTRE JORF ERRACHIDIA;700220;CASH PLUS
CENTRE MASSA;700197;CASH PLUS
CENTRE MOKERISSAT;701718;CASH PLUS
CENTRE MOULAY BOUSSELHAM;702272;CASH PLUS
CENTRE OUAOUZGANE;700666;CASH PLUS
CENTRE RAS EL MA;701129;CASH PLUS
CENTRE SEBT EL GORDANE;700158;CASH PLUS
CENTRE TAMAITE;700339;CASH PLUS
CENTRE TAMANAR;702207;CASH PLUS
CENTRE TANANT;702112;CASH PLUS
CENTRE TIZTOUTINE;701096;CASH PLUS
CENTRE TOUAMA;700697;CASH PLUS
CENTRE VILLE;701078;CASH PLUS
CENTRE ZAG;701313;CASH PLUS
CHAABANE;701635;CASH PLUS
CHAABI Cash MK Khadamat ;009504;M2T
CHAABI NOUACER;702076;CASH PLUS
CHADLIˇOULAD TAYEB;097731;BARID CASH
CHAOUEN AV MLILIA;700787;CASH PLUS
CHARF ALIA;700982;CASH PLUS
CHEMAIA 2;701003;CASH PLUS
CHEMS SALE;700939;CASH PLUS
CHICHAOUA KHADAMATE IMINTANOUTE;701044;CASH PLUS
CHU OUJDA;700798;CASH PLUS
CITE DAKHLA ALFARABI;702200;CASH PLUS
CITY UNIVERSITAIRE;700049;CASH PLUS
COMPLEXE BEL BACHIR;700003;CASH PLUS
COSANES OULAD MTAA;097816;BARID CASH
CTBˇ ANDALOUS SAFIˇ ;097933;BARID CASH
CTBˇ MOUL BERGHI;097934;BARID CASH
CTBˇ TNINE LAGHYATˇ ;097935;BARID CASH
Casa Allal El Fassi;700663;CASH PLUS
Casa NearShore;701396;CASH PLUS
Casa Voyageurs Gare;701557;CASH PLUS
Casa Zevaco;701669;CASH PLUS
Cash Plus beni ayat;700265;CASH PLUS
Cash plus al alya;702319;CASH PLUS
Centre 44;701420;CASH PLUS
Centre ARAKMANE;701640;CASH PLUS
Centre ARBAA AIT BOUTAYEB;700163;CASH PLUS
Centre Arbaa Sahel;700992;CASH PLUS
Centre Bounaamane;700542;CASH PLUS
Centre Bouskoura;700462;CASH PLUS
Centre El Koudia El Beida;702053;CASH PLUS
Centre GHMATE;700823;CASH PLUS
Centre Imssouan;701770;CASH PLUS
Centre Issen;702016;CASH PLUS
Centre Nkob;700518;CASH PLUS
Centre SIDI OUAAZIZ;701018;CASH PLUS
Centre TOUBKKAL;700515;CASH PLUS
Centre Tazmourte ;700681;CASH PLUS
Centre Temssia;701746;CASH PLUS
Centre Ternata;700612;CASH PLUS
