Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume
Angle Rue Oued Zem et Bd Zerktouni Ville Basse 28806 MOHAMMEDIA Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;09:59;M2T;083725;33.70642;-7.39652;+21200623038;BC MOHAMMEDIA PPAL;BARID CASH;75940-H-6;1;DM220497837;+21200623038;;;0
N 455 Rdc Essaada Bd Oued Eddahab El Alia Mohammedia Essaada Mohammadia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:29;M2T;009512;33.68136;-7.39485;+212661515334;Chaabi Cash Extra Damane;M2T;75940-H-6;1;DM220497837;+212661515334;;;0
Hassania 2 N93 Imm La Samir El Alia Mohammedia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:36;M2T;009388;33.67777;-7.3916;+212661138548;Chaabi Cash Agence SH2AD;M2T;75940-H-6;1;DM220497837;+212661138548;;;0
Centre Jemaa De Mllila Benslimane Mellila Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;13:33;M2T;003642;33.38793;-7.14843;+212661225979;Tasshilat Kholti;M2T;75940-H-6;1;DM220497837;+212661225979;;;0
Hay Pam Sidi battach centre Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;16:07;M2T;700517;33.5615;-6.88855;+212674268787;Sidi batach;CASH PLUS;75940-H-6;1;DM220497837;+212674268787;;;0
Bd Hassan IIÿ Quartier El Farah 13002 Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;17:19;M2T;083411;33.60918;-7.12231;+212672869004;BC BENSLIMANE FATH;BARID CASH;75940-H-6;1;DM220497837;+212672869004;;;0
N7 Immeuble Al Mostakbal Rdc Hay Salam Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;17:38;M2T;003745;33.62729;-7.13169;+212665011107;Chaabi Cash Les Services Au Rendez Vous;M2T;75940-H-6;1;DM220497837;+212665011107;;;0
Lotissement Les Oliviers Lot 20 Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;09:33;M2T;024029;32.29026;-9.24108;+212670267396;Chaabi Cash M2t - Les Oliviers - Safi;M2T;WWW;1;DM220497837;+212670267396;;;0
N 114 AV DRISS BENACER LALLA HNIA HAMRIA Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;09:42;M2T;700207;32.29523;-9.24201;+212667360752;HNIA HAMRIA;CASH PLUS;WWW;1;DM220497837;+212667360752;;;0
N108 Rue Des Alpes Jnane Chekkouri Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;09:54;M2T;004508;32.30763;-9.23559;+212660656778;Tasshilat El Hachimi;M2T;WWW;1;DM220497837;+212660656778;;;0
Lot N 29 Lotissement Nafda Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;10:08;M2T;004565;32.32423;-9.23076;+212661107330;Chaabi Cash Cafe Mzoughan;M2T;WWW;1;DM220497837;+212661107330;;;0
N132 Avenue Colomb Quartier Sidi Abdelkerim Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;10:20;M2T;004530;32.31175;-9.22859;+212666568988;Chaabi Cash Web Corner;M2T;WWW;1;DM220497837;+212666568988;;;0
Lotissement Lamia bloc 5 N 53 Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;11:30;M2T;700307;32.30689;-9.21271;+212673858875;LAMYAA;CASH PLUS;WWW;1;DM220497837;+212673858875;;;0
N20 Bis Rue Abdeslam Mjid Quartier Bled El Jed Safi Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;11:59;M2T;004546;32.2914;-9.22231;+212665739878;Tasshilat Info Bled Jed;M2T;WWW;1;DM220497837;+212665739878;;;0
N32 Av Allal Ben Abdellah Ville Nouvelle Safi Abdellah Ville Nouvelle Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:10;M2T;004575;32.28475;-9.22233;+212600313030;Tasshilat Lamaachi Info;M2T;WWW;1;DM220497837;+212600313030;;;0
1 Bis Rue Ben Tahar Hay Jerifat Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:15;M2T;701391;32.285;-9.22324;+212524630655;SAFI JERIFAT;CASH PLUS;WWW;1;DM220497837;+212524630655;;;0
Avenue Al Massira, Route Sebt Gzoula 46014 SAFI Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:22;M2T;083445;32.28404;-9.22595;+212702023126;BC SAFI AL MASSIRA ÿ;BARID CASH;WWW;1;DM220497837;+212702023126;;;0
NÂ° 2 RÃ©sidence Al Mohit Rue Ibnou Khaldoune Ville Nouvelle Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:32;M2T;000524;32.27967;-9.23819;+212679127094;Chaabi Cash M2t - Safi - Ville Nouvelle;M2T;WWW;1;DM220497837;+212679127094;;;0
Lot 496 Quartier Indistriel Amouni Kaouki Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:50;M2T;004562;32.26135;-9.25192;+212644230678;Tasshilat Laassiry;M2T;WWW;1;DM220497837;+212644230678;;;0
Quartier Kaouki 46005 SAFI Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:59;M2T;083943;32.25657;-9.24948;+212602319342;BC SAFI SIDI OUSSAL;BARID CASH;WWW;1;DM220497837;+212602319342;;;0
9 Lots Asaad Sebt gzoula Sebt gzoula;Hamid MERNISSI;;;;;10:00-19:00;;18/04/2022;5;;14:40;M2T;098465;32.1122612;-9.082762;+212663583611;BC LI Sebt Gzoula;BARID CASH;WWW;1;DM220497837;+212663583611;;;0
Pres De Station Service Centre Mirleft Mirleft Mirleft;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;10:46;M2T;003483;29.58168;-10.0347983;+212662070303;Chaabi Cash Grobatim Service;M2T;23647 W 6;1;DM220497837;+212662070303;;;0
Mirleft Centre 85352 TIZNIT Mirleft;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;10:53;M2T;083642;29.5799;-10.03255;+212702003122;BC MIRELEFT;BARID CASH;23647 W 6;1;DM220497837;+212702003122;;;0
N 52 BD HASSAN II Sidi ifni;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;11:53;M2T;702178;29.37789;-10.17471;+212677998565;SIDI IFNI;CASH PLUS;23647 W 6;1;DM220497837;+212677998565;;;0
P30,SOUK TLETA 85550,964V+4H LAKHSSAS Lakhsas;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;15:11;M2T;097602;29.355111;-9.755861;+212680122244;AWY TLETA EL AKHSASS;BARID CASH;23647 W 6;1;DM220497837;+212680122244;;;0
AMICAL ACHBAR NZARBANE BOUNAAMANE Bounaamane;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;16:37;M2T;700542;29.53058;-9.81429;+212667342988;Centre Bounaamane;CASH PLUS;23647 W 6;1;DM220497837;+212667342988;;;0
Centre ouled jerrar Ouled jerrar;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;17:33;M2T;700534;29.54219;-9.69741;+212677998565;Centre ouled Jerrar;CASH PLUS;23647 W 6;1;DM220497837;+212677998565;;;0
410 Lotissement Ain Zerka Tiznit Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:07;M2T;006131;29.67924;-9.712354;+212672031910;Tasshilat Ben Brahim;M2T;23647 W 6;1;DM220497837;+212672031910;;;0
Avenue sidi Abderrahman 81014 TIZNIT Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:24;M2T;098990;29.70257;-9.72923;+212680122244;AWY TIZNIT SIDI ABDERRAHMANE;BARID CASH;23647 W 6;1;DM220497837;+212680122244;;;0
Lot Ijjou Ville Nouvelle Tiznit Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:32;M2T;024019;29.69568;-9.73199;+212632214150;Chaabi Cash M2t- Tiznit;M2T;23647 W 6;1;DM220497837;+212632214150;;;0
Lotissement Asaraha Quartier Afraq Tiznit Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:37;M2T;701380;29.69424;-9.73297;+212528861578;Tiznit Quartier Afraq;CASH PLUS;23647 W 6;1;DM220497837;+212528861578;;;0
Avenue Mohamed V Immeuble de la Poste Beni mellal 23000 Beni Mellal Beni mellal;Houcine Lafrouji ;;;;;09:30-13:00;;18/04/2022;5;;09:29;M2T;083825;32.33369;-6.35949;+212602364077;BC BENI MELLAL PPAL;BARID CASH;23644-E-6;1;DM220497837;+212602364077;;;0
BD ABOULALAA QUARTIER AMRIYA N 234 Beni mellal;Houcine Lafrouji ;;;;;09:30-13:00;;18/04/2022;5;;09:38;M2T;701612;32.338699;-6.362202;+212677877168;Abou Alaa Beni mellal;CASH PLUS;23644-E-6;1;DM220497837;+212677877168;;;0
Hay idari commune sidi aissa ben Ali fkih ben salaeh Sidi aissa;Houcine Lafrouji ;;;;;10:00-19:00;;18/04/2022;5;;11:03;M2T;098358;32.342426;-6.651865;+212618837377;ID SIDI AISSA;BARID CASH;23644-E-6;1;DM220497837;+212618837377;;;0
DOUAR OLD BOUAZZA BNI MOUSSAOULAD BOURAHMOUNE Oulad bourahmoun;Houcine Lafrouji ;;;;;10:00-19:00;;18/04/2022;5;;11:40;M2T;700528;32.29391;-6.66331;+212667974529;Centre ouled bouaza souk sebt;CASH PLUS;23644-E-6;1;DM220497837;+212667974529;;;0
Centre Ait Attab Cercle De Bzou Ait attab;Houcine Lafrouji ;;;;;10:00-19:00;;18/04/2022;5;;13:11;M2T;700765;32.11362;-6.70776;+212627932240;CENTRE AIT ATTAB;CASH PLUS;23644-E-6;1;DM220497837;+212627932240;;;0
Hay El Jadid Ouauizeght Afourar Afourar;Houcine Lafrouji ;;;;;10:00-19:00;;18/04/2022;5;;16:20;M2T;006288;32.20839;-6.53696;+212663431095;Chaabi Cash Messab Services;M2T;23644-E-6;1;DM220497837;+212663431095;;;0
N 2 RUE EL MASJID CENTRE El kelaa des mgouna;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;10:25;M2T;098285;31.237009;-6.130237;+212662381858;BC SCTÿ KELAA MEGOUNA;BARID CASH;79205-H-6;1;DM220497837;+212662381858;;;0
N°47 Av Med V Hay El Qods Ouarzazat Ouarzazate;Jamal Aghrib;;;;;10:00-13:00;;18/04/2022;5;;11:53;M2T;701375;30.92444;-6.89144;+212524888308;EUROSOL OUARZAZAT CR;CASH PLUS;79205-H-6;1;DM220497837;+212524888308;;;0
Quartier Sidi Daoud face lyc‚e sidi daoud 45005 OUARZAZATE Ouarzazate;Jamal Aghrib;;;;;10:00-13:00;;18/04/2022;5;;11:59;M2T;083638;30.92287;-6.89459;+212700621875;BC OUARZAZATE TAOURIRT;BARID CASH;79205-H-6;1;DM220497837;+212700621875;;;0
Avenue moulay abdellah hay al wahda Ouarzazate;Jamal Aghrib;;;;;10:00-13:00;;18/04/2022;5;;12:07;M2T;700862;30.92945;-6.90603;+212610845571;Ouarzazate Ennacim;CASH PLUS;79205-H-6;1;DM220497837;+212610845571;;;0
N°128 AV MOULAY ETTAHAR BENABDLKRIM CITE LA RESIST Ouarzazate;Jamal Aghrib;;;;;10:00-13:00;;18/04/2022;5;;12:33;M2T;700990;30.92453;-6.92545;+212662387756;MOUKAOUAMA 2;CASH PLUS;79205-H-6;1;DM220497837;+212662387756;;;0
Avenue Mohamed V Residence Tiflit N 6 Ouarzazate;Jamal Aghrib;;;;;10:00-13:00;;18/04/2022;5;;12:40;M2T;701163;30.92054;-6.91457;+212707041098;OUARZAZATECTRFR;CASH PLUS;79205-H-6;1;DM220497837;+212707041098;;;0
Nø11 RTE DE ZAGORA , TIGAMI Ouarzazate;Jamal Aghrib;;;;;10:00-13:00;;18/04/2022;5;;12:48;M2T;098560;30.90172;-6.9111;+212661900983;BC WINAS TARMIGTE;BARID CASH;79205-H-6;1;DM220497837;+212661900983;;;0
CENTRE TAMEZMOUTES Tamezmoute;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;14:38;M2T;700107;30.67094;-6.14546;+212667969111;TAMEZMOUT ZAGORA;CASH PLUS;79205-H-6;1;DM220497837;+212667969111;;;0
DR AKHLOUF BOUZROUAL Tinzouline;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;15:07;M2T;700142;30.50128;-6.10214;+212671342424;TINZOLINE;CASH PLUS;79205-H-6;1;DM220497837;+212671342424;;;0
Numéro 28 Bis Avenue Mohamed 5 hay massira Zagora. Zagora;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;15:50;M2T;702194;30.33844;-5.83764;+212706828169;MOHAMED V FR 2;CASH PLUS;79205-H-6;1;DM220497837;+212706828169;;;0
Av Med V Centre Ville Zagora Zagora;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;15:56;M2T;003123;30.33053;-5.83774;+212661085598;Chaabi Cash El Ouali;M2T;79205-H-6;1;DM220497837;+212661085598;;;0
AVENUE MOHAMED 5 A Zagora;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;16:01;M2T;701897;30.32755;-5.83859;+212524838148;ZAGORA;CASH PLUS;79205-H-6;1;DM220497837;+212524838148;;;0
Bd. Mohamed V 47902 ZAGORA Zagora;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;16:06;M2T;083983;30.32519;-5.83971;+212700087039;BC ZAGORA;BARID CASH;79205-H-6;1;DM220497837;+212700087039;;;0
Hay Amzrou zagouraAmezrou Zagora;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;16:14;M2T;701658;30.30993;-5.8245;+212667966545;Hay Amzerou zagoura;CASH PLUS;79205-H-6;1;DM220497837;+212667966545;;;0
CENTRE TAGOUNIT Tagounite;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;17:42;M2T;701449;29.98229;-5.58331;+212670936304;TAGOUNITE ZAGOURA;CASH PLUS;79205-H-6;1;DM220497837;+212670936304;;;0
Tagounite Hay Al Massira 47552 ZAGORA Zagora;Jamal Aghrib;;;;;10:00-19:00;;18/04/2022;5;;17:49;M2T;083775;29.97251;-5.58214;+212700622206;BC TAGOUNITE;BARID CASH;79205-H-6;1;DM220497837;+212700622206;;;0
244 AV MOHAMED V HAY EL OUAHDA Khémisset;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;09:59;M2T;702145;33.82596;-6.07544;+212633280559;Khémisset Bd Med V;CASH PLUS;WW892913;1;DM220497837;+212633280559;;;0
N9 Zankat Al Mouqaouim Aadi Lhoussin Ben B Lotissement Al Mouna Khemisset Al Mouna Khemisset Khémisset;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;10:06;M2T;010373;33.82856;-6.07788;+212666858680;Tasshilat Drif;M2T;WW892913;1;DM220497837;+212666858680;;;0
LOTISSEMENT NARJIS Nø04 LOCAL 1 Tiflet;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;11:13;M2T;097567;33.8984277;-6.3349182;+212663752823;PCSH TIFLET NARJIS;BARID CASH;WW892913;1;DM220497837;+212663752823;;;0
23 HAY BENITO KAMOUNI CENTRE Sidi allal el bahraoui;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;12:20;M2T;098947;34.0107247;-6.5323785;+212645290039;SAHATEL SIDI ALLAL BAHRAOUI CENTRE KAMOUNI;BARID CASH;WW892913;1;DM220497837;+212645290039;;;0
LOT IDRISSIA N 22 HAY ZAHRA Khémisset;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;14:31;M2T;701876;33.816062;-6.070233;+212689657425;HAY ZAHRA KHEMISSAT;CASH PLUS;WW892913;1;DM220497837;+212689657425;;;0
N° 99 RUE CHANA OMAR HAY SALAM KHEMISSET Khémisset;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;15:19;M2T;702068;33.82586;-6.06625;+212627092738;KHEMISSET HAY SALAM;CASH PLUS;WW892913;1;DM220497837;+212627092738;;;0
N93 Rue Khalid Ben Oualid Hay Nasr Khemisset Khémisset;Abdeljabar Mamas;;;;;10:00-19:00;;18/04/2022;5;;15:35;M2T;000503;33.83632;-6.0661;+212699716035;Chaabi Cash M2t - Khemisset - Hay Nasr;M2T;WW892913;1;DM220497837;+212699716035;;;0
Av Hassan Ii N 110 Centre Goulmima Goulmima Goulmima;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;10:04;M2T;006778;31.69352;-4.955707;+212600591979;Chaabi Cash La Permanance;M2T;34595 - B - 7;1;DM220497837;+212600591979;;;0
NÂ°113 Bd Hassan Ii Goulmima Goulmima;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;10:10;M2T;003871;31.6886459;-4.9563681;+212633429397;Chaabi Cash Espace Service Ghris;M2T;34595 - B - 7;1;DM220497837;+212633429397;;;0
Ksar Sidi Yahia Frkla Oulia Goulmima Goulmima;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;10:43;M2T;003434;31.505134;-5.047082;+212671891947;Chaabi Cash BKSM Travaux;M2T;34595 - B - 7;1;DM220497837;+212671891947;;;0
NÂ°84 Rue Dakhla Place Lamssala Tinghir Tinghir;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;11:51;M2T;003363;31.521826;-5.531182;+212667541307;Chaabi Cash Espace Multiservice Madiouni;M2T;34595 - B - 7;1;DM220497837;+212667541307;;;0
N°6, Avenue Mohammed V Tinghir;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;11:57;M2T;700418;31.518625;-5.5349;+212524830255;TINGHIR;CASH PLUS;34595 - B - 7;1;DM220497837;+212524830255;;;0
Boulevard Biran-Zaran N311 T Tinghir Tinghir;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;12:14;M2T;006187;31.5127478;-5.5337889;+212674156822;Chaabi Cash Espace des Services Dakhla;M2T;34595 - B - 7;1;DM220497837;+212674156822;;;0
367 A Lot Bougafer Tinghir Tinghir;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;12:21;M2T;003671;31.507571;-5.538938;+212661862368;Chaabi Cash Toudgha Finance;M2T;34595 - B - 7;1;DM220497837;+212661862368;;;0
AMANIKIDAR cummune OUAKLIMTINGHIR Ouaklim;Lhoussaine Oubih;;;;;10:00-19:00;;18/04/2022;5;;13:15;M2T;700741;31.43625;-5.597527;+212667399882;AMANIKIDAR cummune OUAKLIM;CASH PLUS;34595 - B - 7;1;DM220497837;+212667399882;;;0
