Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume;rejection
N 1 Lotissement alliance darna kénitra Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;14:42;;;34.2541492;-6.6537511;+212661562825;HIKMASHOP, Boulanouar mohammed;;34592-B-7;1;;+212661562825;;;0;Hub n'est pas egale a M2T
MAG S1/2 IMMEUBLE 9 ALIANCE DARNA KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;14:51;M2T;701320;34.255706;-6.649491;+212661062038;ALIENCE KASBA;CASH PLUS;34592-B-7;1;DM220497837;+212661062038;;;0;date de depart non conforme
2174 KASBAT MEHDIA KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:09;M2T;097787;34.266485;-6.643601;+212664405278;SFT MEHDIA;BARID CASH;34592-B-7;1;DM220497837;+212664405278;;;0;date de depart non conforme
N 2093 LOTISSEMENT HADDADA MAGASIN N2 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:22;M2T;702222;34.266725;-6.626762;+212665693274;FLORIDA ELHADADA;CASH PLUS;34592-B-7;1;DM220497837;+212665693274;;;0;date de depart non conforme
Bloc M N158 Ouled Oujih Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:33;M2T;004841;34.2561045;-6.6253831;+212657146135;Tasshilat 2 YSH;M2T;34592-B-7;1;DM220497837;+212657146135;;;0;date de depart non conforme
00 OULED OUJIH BLOC D NR 83 Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;15:42;;;34.2552344;-6.6183901;+212667658560;inwi, ABDELILAH SADKI;;34592-B-7;1;;+212667658560;;;0;Hub n'est pas egale a M2T
Bloc A N°433, Ouled Oujih Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;15:47;;;34.2552344;-6.6183901;+212620156686;ETECH NETWORK, Ihab Tarrafti;;34592-B-7;1;;+212620156686;;;0;Hub n'est pas egale a M2T
199 LOT BASMA N 1OULED OUJIH Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:54;M2T;701799;34.259297;-6.615799;+212661161724;OULED OUJIH DOUBLE VOIX;CASH PLUS;34592-B-7;1;DM220497837;+212661161724;;;0;date de depart non conforme
1 Bloc C Ouled Oujih Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:03;M2T;700383;34.2659355;-6.6165085;+212537353778;OULEDOUJIH;CASH PLUS;34592-B-7;1;DM220497837;+212537353778;;;0;date de depart non conforme
193 TAIBIA BOUTIQUE N 3 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:08;M2T;700657;34.26604;-6.6165;+212661849877;TAIBIA;CASH PLUS;34592-B-7;1;DM220497837;+212661849877;;;0;date de depart non conforme
résidence al ismailia 560 Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;16:23;;;34.284781368772194;-6.608266629035974;+212624043092;Moroccan Bazaar, فاطمة الزهراء الحنوني;;34592-B-7;1;;+212624043092;;;0;Hub n'est pas egale a M2T
N96 Magasin N1 Bloc C Haouzia Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:35;M2T;004840;34.2706639;-6.6108697;+212612037788;Chaabi Cash K-Business;M2T;34592-B-7;1;DM220497837;+212612037788;;;0;date de depart non conforme
LOT LE VALLON N 2127 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:44;M2T;701206;34.266994;-6.60389;+212621390951;ESSAYAD;CASH PLUS;34592-B-7;1;DM220497837;+212621390951;;;0;date de depart non conforme
NOVARES MOROCCO - Quartier Al Assam KM 7 Route de Tanger Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;16:55;;;34.2612887;-6.597273299999999;+212666160994;XOS, NOVARES MOROCCO - Quartier Al Assam KM 7 Route de Tanger;;34592-B-7;1;;+212666160994;;;0;Hub n'est pas egale a M2T
Avenue Ahmed Chaouki Ville Haute 14036 KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;17:02;M2T;083753;34.265242;-6.593117;+212700613379;BC KENITRA VILLE HAUTE;BARID CASH;34592-B-7;1;DM220497837;+212700613379;;;0;date de depart non conforme
N°10, Avenue Moulay Abdelaziz Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;17:13;M2T;701369;34.260559;-6.587522;+212537375191;EUROSOL KENITRA;CASH PLUS;34592-B-7;1;DM220497837;+212537375191;;;0;date de depart non conforme
53 Rond Point Hay Salam Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;006167;23.69067;-15.9505;+212661207497;Chaabi Cash Najla de Commerce et Services;M2T;11980 - A - 73;1;DM220497837;+212661207497;;;0;date de depart non conforme
Hay Errahma Angle Avenue Mohamed Fadel Et Avenue Bahnini Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;18/04/2022;5;;10:06;M2T;000569;23.6903;-15.94677;+212671116719;Chaabi Cash M2t- Dakhla;M2T;11980 - A - 73;1;DM220497837;+212671116719;;;0;date de depart non conforme
01 Avenu des FAR Casablanca;Monsif  Akkaoui;;;;;09:00-17:00;;18/04/2022;5;;10:20;;;23.7221111;-15.9347384;+212619041806;Moroccan Bazaar, Hanane;;11980 - A - 73;1;;+212619041806;;;0;Hub n'est pas egale a M2T
Lot el montazah 2 NR 30 Dakhla;Monsif  Akkaoui;;;;;;;18/04/2022;5;;10:25;;;23.7221111;-15.9347384;+212659644822;MAFITIS, Youssra elmansouri;;11980 - A - 73;1;;;;;0;Hub n'est pas egale a M2T
HAY ESSALAM Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;18/04/2022;5;;10:37;M2T;701848;23.70167;-15.94799;+212706821565;DAKHAL HAY ESSALAM;CASH PLUS;11980 - A - 73;1;DM220497837;+212706821565;;;0;date de depart non conforme
Angle Rue Oued Zem et Bd Zerktouni Ville Basse 28806 MOHAMMEDIA Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;09:59;M2T;083725;33.70642;-7.39652;+21200623038;BC MOHAMMEDIA PPAL;BARID CASH;75940-H-6;1;DM220497837;+21200623038;;;0;date de depart non conforme
00 HASSANIA 2 BLOC C NR 173 EL ALIA MOHAMMEDIA Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:16;;;33.6965012;-7.3839578;+212661043585;inwi, MAMOUN NOUREDDINE;;75940-H-6;1;;+212661043585;;;0;Hub n'est pas egale a M2T
N 455 Rdc Essaada Bd Oued Eddahab El Alia Mohammedia Essaada Mohammadia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:29;M2T;009512;33.68136;-7.39485;+212661515334;Chaabi Cash Extra Damane;M2T;75940-H-6;1;DM220497837;+212661515334;;;0;date de depart non conforme
Hassania 2 N93 Imm La Samir El Alia Mohammedia Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:36;M2T;009388;33.67777;-7.3916;+212661138548;Chaabi Cash Agence SH2AD;M2T;75940-H-6;1;DM220497837;+212661138548;;;0;date de depart non conforme
Av Abdelkhaleq Torres Residence Mohammedia Mag N°4 Salé 00 Salé;Mourad HANOUNI;;;;;09:00-17:00;;18/04/2022;5;;10:43;;;33.6835086;-7.384854699999999;+212661107330;M2T, ES1420Chaabi Cash S.S.I.COM;;75940-H-6;1;;+212661107330;;;0;Hub n'est pas egale a M2T
00 HAY RACHIDIA 3 BLOC B N°23 PRES SUPER MARCHE VILLA ROYAL - MOHAMMEDIA Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:48;;;33.6835086;-7.384854699999999;+212607096997;inwi, Agoub Hamza;;75940-H-6;1;;+212607096997;;;0;Hub n'est pas egale a M2T
00 MESKLIL BOULEVARD REDOUANE MAISON NUMERO 21 Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:53;;;33.6835086;-7.384854699999999;+212673141089;inwi, MECHNAN HICHAM;;75940-H-6;1;;+212673141089;;;0;Hub n'est pas egale a M2T
00 résidence les eurquibé mohamadia immeuble n apprtement 01 Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;10:58;;;33.6835086;-7.384854699999999;+212661907053;inwi, KHOUADRI NAJOUA;;75940-H-6;1;;+212661907053;;;0;Hub n'est pas egale a M2T
Parc, Burger King, 00 Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;11:03;;;33.6835086;-7.384854699999999;+212613303901;CUSTOMILY.MA, Boutaina Lebsire;;75940-H-6;1;;+212613303901;;;0;Hub n'est pas egale a M2T
00 res khawla imm 01 gh 1 appt 438 Mohammédia;Mourad HANOUNI;;;;;10:00-13:00;;18/04/2022;5;;11:12;;;33.6885696;-7.375216300000001;+212613120242;inwi, ESSAFI HAMID;;75940-H-6;1;;+212613120242;;;0;Hub n'est pas egale a M2T
Centre Jemaa De Mllila Benslimane Mellila Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;13:33;M2T;003642;33.38793;-7.14843;+212661225979;Tasshilat Kholti;M2T;75940-H-6;1;DM220497837;+212661225979;;;0;date de depart non conforme
Hay Pam Sidi battach centre Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;16:07;M2T;700517;33.5615;-6.88855;+212674268787;Sidi batach;CASH PLUS;75940-H-6;1;DM220497837;+212674268787;;;0;date de depart non conforme
Bd Hassan IIÿ Quartier El Farah 13002 Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;17:19;M2T;083411;33.60918;-7.12231;+212672869004;BC BENSLIMANE FATH;BARID CASH;75940-H-6;1;DM220497837;+212672869004;;;0;date de depart non conforme
Rue Tarik Ibn Ziad N°2 Benslimane Benslimane 00 Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;17:27;;;33.6130062;-7.1204499;+212666772549;M2T, ES6704Chaabi Cash Y&M Gold Car;;75940-H-6;1;;;;;0;Hub n'est pas egale a M2T
N7 Immeuble Al Mostakbal Rdc Hay Salam Benslimane Benslimane;Mourad HANOUNI;;;;;13:00-19:00;;18/04/2022;5;;17:38;M2T;003745;33.62729;-7.13169;+212665011107;Chaabi Cash Les Services Au Rendez Vous;M2T;75940-H-6;1;DM220497837;+212665011107;;;0;date de depart non conforme
Lotissement Les Oliviers Lot 20 Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;09:33;M2T;024029;32.29026;-9.24108;+212670267396;Chaabi Cash M2t - Les Oliviers - Safi;M2T;WWW;1;DM220497837;+212670267396;;;0;date de depart non conforme
N 114 AV DRISS BENACER LALLA HNIA HAMRIA Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;09:42;M2T;700207;32.29523;-9.24201;+212667360752;HNIA HAMRIA;CASH PLUS;WWW;1;DM220497837;+212667360752;;;0;date de depart non conforme
N108 Rue Des Alpes Jnane Chekkouri Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;09:54;M2T;004508;32.30763;-9.23559;+212660656778;Tasshilat El Hachimi;M2T;WWW;1;DM220497837;+212660656778;;;0;date de depart non conforme
Lot N 29 Lotissement Nafda Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;10:08;M2T;004565;32.32423;-9.23076;+212661107330;Chaabi Cash Cafe Mzoughan;M2T;WWW;1;DM220497837;+212661107330;;;0;date de depart non conforme
N132 Avenue Colomb Quartier Sidi Abdelkerim Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;10:20;M2T;004530;32.31175;-9.22859;+212666568988;Chaabi Cash Web Corner;M2T;WWW;1;DM220497837;+212666568988;;;0;date de depart non conforme
Villa 212, Safi 2, Bled El Jed Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;10:52;;;32.2989872;-9.1013498;+212661691249;MOHAMED EL AYACHI, Agoufai Mostafa;;WWW;1;;+212661691249;;;0;Hub n'est pas egale a M2T
Lotissement Lamia bloc 5 N 53 Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;11:30;M2T;700307;32.30689;-9.21271;+212673858875;LAMYAA;CASH PLUS;WWW;1;DM220497837;+212673858875;;;0;date de depart non conforme
00 21 RUE EL OKHOUAN QU EL FIRDAOUS LOTIS KOUAR Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;11:42;;;32.3008151;-9.2272033;+212653338259;inwi, CHOUMAIS AMAL;;WWW;1;;+212653338259;;;0;Hub n'est pas egale a M2T
00 LOT ABC REMONTE N 11 PROVINCE DE SAFI Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;11:47;;;32.3008151;-9.2272033;+212661956715;TOP MACHINERY ( BRICONET ), SAAD MENNIS;;WWW;1;;+212661956715;;;0;Hub n'est pas egale a M2T
N20 Bis Rue Abdeslam Mjid Quartier Bled El Jed Safi Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;11:59;M2T;004546;32.2914;-9.22231;+212665739878;Tasshilat Info Bled Jed;M2T;WWW;1;DM220497837;+212665739878;;;0;date de depart non conforme
N32 Av Allal Ben Abdellah Ville Nouvelle Safi Abdellah Ville Nouvelle Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:10;M2T;004575;32.28475;-9.22233;+212600313030;Tasshilat Lamaachi Info;M2T;WWW;1;DM220497837;+212600313030;;;0;date de depart non conforme
1 Bis Rue Ben Tahar Hay Jerifat Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:15;M2T;701391;32.285;-9.22324;+212524630655;SAFI JERIFAT;CASH PLUS;WWW;1;DM220497837;+212524630655;;;0;date de depart non conforme
Avenue Al Massira, Route Sebt Gzoula 46014 SAFI Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:22;M2T;083445;32.28404;-9.22595;+212702023126;BC SAFI AL MASSIRA ÿ;BARID CASH;WWW;1;DM220497837;+212702023126;;;0;date de depart non conforme
NÂ° 2 RÃ©sidence Al Mohit Rue Ibnou Khaldoune Ville Nouvelle Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:32;M2T;000524;32.27967;-9.23819;+212679127094;Chaabi Cash M2t - Safi - Ville Nouvelle;M2T;WWW;1;DM220497837;+212679127094;;;0;date de depart non conforme
Lot 496 Quartier Indistriel Amouni Kaouki Safi Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:50;M2T;004562;32.26135;-9.25192;+212644230678;Tasshilat Laassiry;M2T;WWW;1;DM220497837;+212644230678;;;0;date de depart non conforme
Quartier Kaouki 46005 SAFI Safi;Hamid MERNISSI;;;;;09:30-13:00;;18/04/2022;5;;12:59;M2T;083943;32.25657;-9.24948;+212602319342;BC SAFI SIDI OUSSAL;BARID CASH;WWW;1;DM220497837;+212602319342;;;0;date de depart non conforme
9 Lots Asaad Sebt gzoula Sebt gzoula;Hamid MERNISSI;;;;;10:00-19:00;;18/04/2022;5;;14:40;M2T;098465;32.1122612;-9.082762;+212663583611;BC LI Sebt Gzoula;BARID CASH;WWW;1;DM220497837;+212663583611;;;0;date de depart non conforme
Numero 33 Résidence ibligh Tiznit;Mohamed EL OURFI ;;;;;09:00-17:00;;18/04/2022;5;;09:04;;;29.69369662122011;-9.718799076513795;+212645600810;Moroccan Bazaar, الحسن العمري;;23647 W 6;1;;+212645600810;;;0;Hub n'est pas egale a M2T
00 Rue id zekri tiznit Tiznit;Mohamed EL OURFI ;;;;;09:00-17:00;;18/04/2022;5;;09:14;;;29.693392;-9.732156999999999;+212652048898;2WLS, Bouchra Ettanji;;23647 W 6;1;;+212652048898;;;0;Hub n'est pas egale a M2T
Pres De Station Service Centre Mirleft Mirleft Mirleft;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;10:46;M2T;003483;29.58168;-10.0347983;+212662070303;Chaabi Cash Grobatim Service;M2T;23647 W 6;1;DM220497837;+212662070303;;;0;date de depart non conforme
Mirleft Centre 85352 TIZNIT Mirleft;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;10:53;M2T;083642;29.5799;-10.03255;+212702003122;BC MIRELEFT;BARID CASH;23647 W 6;1;DM220497837;+212702003122;;;0;date de depart non conforme
N 52 BD HASSAN II Sidi ifni;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;11:53;M2T;702178;29.37789;-10.17471;+212677998565;SIDI IFNI;CASH PLUS;23647 W 6;1;DM220497837;+212677998565;;;0;date de depart non conforme
Sidi ifni 1 Sidi ifni;Mohamed EL OURFI ;;;;;;;18/04/2022;5;;12:00;;;29.3794626;-10.1763184;+212696371878;AMINE AIT ALI, Driss;;23647 W 6;1;;+212696371878;;;0;Hub n'est pas egale a M2T
sidi ifni 1 Sidi ifni;Mohamed EL OURFI ;;;;;09:00-17:00;;18/04/2022;5;;12:05;;;29.3794626;-10.1763184;+212773374549;YASSINE MOUHAYAT, halima;;23647 W 6;1;;+212773374549;;;0;Hub n'est pas egale a M2T
P30,SOUK TLETA 85550,964V+4H LAKHSSAS Lakhsas;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;15:11;M2T;097602;29.355111;-9.755861;+212680122244;AWY TLETA EL AKHSASS;BARID CASH;23647 W 6;1;DM220497837;+212680122244;;;0;date de depart non conforme
AMICAL ACHBAR NZARBANE BOUNAAMANE Bounaamane;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;16:37;M2T;700542;29.53058;-9.81429;+212667342988;Centre Bounaamane;CASH PLUS;23647 W 6;1;DM220497837;+212667342988;;;0;date de depart non conforme
Centre ouled jerrar Ouled jerrar;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;17:33;M2T;700534;29.54219;-9.69741;+212677998565;Centre ouled Jerrar;CASH PLUS;23647 W 6;1;DM220497837;+212677998565;;;0;date de depart non conforme
410 Lotissement Ain Zerka Tiznit Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:07;M2T;006131;29.67924;-9.712354;+212672031910;Tasshilat Ben Brahim;M2T;23647 W 6;1;DM220497837;+212672031910;;;0;date de depart non conforme
Avenue sidi Abderrahman 81014 TIZNIT Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:24;M2T;098990;29.70257;-9.72923;+212680122244;AWY TIZNIT SIDI ABDERRAHMANE;BARID CASH;23647 W 6;1;DM220497837;+212680122244;;;0;date de depart non conforme
Lot Ijjou Ville Nouvelle Tiznit Tiznit;Mohamed EL OURFI ;;;;;10:00-19:00;;18/04/2022;5;;18:32;M2T;024019;29.69568;-9.73199;+212632214150;Chaabi Cash M2t- Tiznit;M2T;23647 W 6;1;DM220497837;+212632214150;;;0;date de depart non conforme
